,LCSB_ID,EXTERNAL_IDS,LCSB_EQUATION,REACTION_SMILES,REACTION_INCHIKEY,MATCH,GEN_EQUATION,GEN_SMILES,RULES
1678,1569682946,R02659,-1 1467895440;1 1467879801;1 1467917848,OCC(C(C(C(=O)C(=O)O)O)O)O>>O.OCC1OC(=O)C(=O)C(C1O)O,VBUYCZFBVCCYFD<=>JOGPHXUZRSLSAS+XLYOFNOQVPJJNP,True,VBUYCZFBVCCYFD<=>CHBOOQANOWFPGB+XLYOFNOQVPJJNP|VBUYCZFBVCCYFD<=>JOGPHXUZRSLSAS+XLYOFNOQVPJJNP,O=C(O)C(=O)C(O)C(O)C(O)CO>>O.O=C1C(=O)C(O)C(O)C(O)C1O|O=C(O)C(=O)C(O)C(O)C(O)CO>>O.O=C1OC(CO)C(O)C(O)C1=O,hyp_tadalafil_cyc
1689,1569683218,R02685|R03224|R09698|R10827|RHEA: 16108|RHEA: 26529|RHEA: 45815|rxn06216|rxn06347|rxn16544|ENOYL-COA-HYDRAT-RXN|RXN-17475|RXN-7699|RXN-7699,-1 1467873124;1 1467872765;1 1467879801,OC(CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O)[R]>>[R]C=CC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O.O,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP|NO_INCHIKEY<=>GBBWIZKLHXYJOA+NO_INCHIKEY|NO_INCHIKEY<=>NO_INCHIKEY+QAEDSCGVDFDICZ|NO_INCHIKEY<=>CDDMDUQDXNCIPT+NO_INCHIKEY|NO_INCHIKEY<=>ANAPDJFUOXMNLO+NO_INCHIKEY|NO_INCHIKEY<=>IVOMOUWHDPKRLL+NO_INCHIKEY|NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C1CC(=O)SCC1NC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O|*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C(O)CC(=O)SCCNC(=O)CC1CC(C)(C)C(O)C(=O)N1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(OP(=O)(O)O)C1O|*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC2CC2(OP(=O)(O)O)C1O|*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC2COC1C2OP(=O)(O)O|*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)O.Nc1ncnc2c1nc1n2C2OC(C1)C(OP(=O)(O)O)C2O|*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O|*C(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1OP(=O)(O)O>>*C(O)CC(=O)SCCNC(=O)CCNC(=O)C1OP(=O)(OP(=O)(O)OCC2OC(n3cnc4c(N)ncnc43)C(O)C2OP(=O)(O)O)OCC1(C)C.O,hyp_tadalafil_cyc
2399,1569699288,R04416|rxn06688,-1 1467904290;1 1467879801;1 1467901187,CCCCCCCC(CC(=O)S[R])O>>O.CCCCCCC=CCC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCCCC>>*SC(=O)CC1CCCCC1CC.O,hyp_tadalafil_cyc
2458,1569700491,R04535|Metrxn:64802|rxn05333|rxn31324,-1 1467904290;1 1467879801;1 1467911925,CCCCCCCC(CC(=O)S[R])O>>O.CCCCCCCC=CC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCCCC>>*SC(=O)CC1CCCCC1CC.O,hyp_tadalafil_cyc
2459,1569700529,R04537|Metrxn:64814|rxn05334|rxn31323|4.2.1.59-RXN,-1 1467904297;1 1467879801;1 1467911896,CCCCCC(CC(=O)S[R])O>>O.CCCCCC=CC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCC>>*SC(=O)CC1CCCCC1.O,hyp_tadalafil_cyc
2462,1569700608,R04544|Metrxn:79313|rxn05332|rxn31327,-1 1467904405;1 1467879801;1 1467912012,CCCCCCCCCCCCCC(CC(=O)S[R])O>>O.CCCCCCCCCCCCCC=CC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCCCCCCCCCC>>*SC(=O)CC1CCCCC1CCCCCCCC.O,hyp_tadalafil_cyc
2475,1569700881,R04568|Metrxn:64805|rxn05335|rxn31326|RXN-9537|HMR_2175,-1 1467904876;1 1467879801;1 1467911984,CCCCCCCCCCCC(CC(=O)S[R])O>>O.CCCCCCCCCCCC=CC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCCCCCCCC>>*SC(=O)CC1CCCCC1CCCCCC.O,hyp_tadalafil_cyc
2639,1569704748,R04965|Metrxn:64803|rxn05331|rxn31325|HMR_2170,-1 1467911954;1 1467879801;1 1467911965,CCCCCCCCCC(CC(=O)S[R])O>>O.CCCCCCCCCC=CC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCCCCCC>>*SC(=O)CC1CCCCC1CCCC.O,hyp_tadalafil_cyc
2676,1569705647,R05100|BR49123|RHEA: 26517|rxn03456|RXN-11050,-1 1467915001;1 1467879801;1 1467915045,O=CCCCCC(=O)O>>O.O=C1CCCCC1=O,PNPPVRALIYXJBW<=>OILAIQUEIWYQPH+XLYOFNOQVPJJNP,True,PNPPVRALIYXJBW<=>OILAIQUEIWYQPH+XLYOFNOQVPJJNP,O=CCCCCC(=O)O>>O.O=C1CCCCC1=O,hyp_tadalafil_cyc
3607,1569727105,R07764|rxn07578|rxn30140,-1 1468008303;1 1467879801;1 1468008313,CCCCCCCCCCCCCCCC(CC(=O)S[R])O>>O.CCCCCCCCCCCCCCCC=CC(=O)S[R],NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,True,NO_INCHIKEY<=>NO_INCHIKEY+XLYOFNOQVPJJNP,*SC(=O)CC(O)CCCCCCCCCCCCCCC>>*SC(=O)CC1CCCCC1CCCCCCCCCC.O,hyp_tadalafil_cyc
