,LCSB_ID,EXTERNAL_IDS,LCSB_EQUATION,REACTION_SMILES,REACTION_INCHIKEY,MATCH,GEN_EQUATION,GEN_SMILES,RULES
2249,1569696238,R04084|BS2112|RE1927C|rxn02858|MNXR103580|MNXR108645|RXN-9980|HMR_6759,-1 1467900185;-1 1467898292;1 1467879801;1 1467892230,NCCc1ccc(c(c1)O)O.O=CCc1ccc(c(c1)O)O>>O.Oc1cc(ccc1O)CC1NCCc2c1cc(O)c(c2)O,IADQVXRMSNIUEL+VYFYYTLLBUKUHU<=>ABXZOXDTHTTZJW+XLYOFNOQVPJJNP,True,IADQVXRMSNIUEL+VYFYYTLLBUKUHU<=>ABXZOXDTHTTZJW+XLYOFNOQVPJJNP|IADQVXRMSNIUEL+VYFYYTLLBUKUHU<=>NVUHZZUMBQHXHY+XLYOFNOQVPJJNP,NCCC1=CC=C(O)C(O)=C1.O=CCC1=CC=C(O)C(O)=C1>>O.Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1O|NCCC1=CC=C(O)C(O)=C1.O=CCC1=CC=C(O)C(O)=C1>>O.Oc1ccc(CC2NCCc3ccc(O)c(O)c32)cc1O,hyp_tadalafil
2342,1569698219,R04305|BR455|RHEA: 16176|RHEA: 16174|16173|rxn02997|rxn27097|rxn32590|MNXR108796|S-NORLAUDANOSOLINE-SYNTHASE-RXN,-1 1467898352;-1 1467898292;1 1467879801;1 1467915486,NCCc1ccc(c(c1)O)O.O=CCc1ccc(cc1)O>>O.Oc1ccc(cc1)CC1NCCc2c1cc(O)c(c2)O,IPRPPFIAVHPVJH+VYFYYTLLBUKUHU<=>WZRCQWQRFZITDX+XLYOFNOQVPJJNP,True,IPRPPFIAVHPVJH+VYFYYTLLBUKUHU<=>WZRCQWQRFZITDX+XLYOFNOQVPJJNP|IPRPPFIAVHPVJH+VYFYYTLLBUKUHU<=>CWIKVBBSTIVWRV+XLYOFNOQVPJJNP,NCCC1=CC=C(O)C(O)=C1.O=CCC1=CC=C(O)C=C1>>O.Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1|NCCC1=CC=C(O)C(O)=C1.O=CCC1=CC=C(O)C=C1>>O.Oc1ccc(CC2NCCc3ccc(O)c(O)c32)cc1,hyp_tadalafil
2951,1569712619,R05749|R05750|BR26150|BR26151|BS165634|RHEA: 12299|RHEA: 21759|RHEA: 12297|12296|21756|rxn04006|rxn04007|MNXR109805|MNXR109806|4.3.3.3-RXN|4.3.3.4-RXN,-1 1467898292;-1 1467884130;1 1467879801;1 1467925423,O=CCC1C(C=C)C(OC=C1C(=O)OC)OC1OC(CO)C(C(C1O)O)O.NCCc1ccc(c(c1)O)O>>O.C=CC1C(OC=C(C1CC1NCCc2c1cc(O)c(c2)O)C(=O)OC)OC1OC(CO)C(C(C1O)O)O,CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>MTAVTRZTGFLKSC+XLYOFNOQVPJJNP,True,CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>MTAVTRZTGFLKSC+XLYOFNOQVPJJNP|CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>HQOCTHDKGZPZEY+XLYOFNOQVPJJNP,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC=O.NCCC1=CC=C(O)C(O)=C1>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NCCc2cc(O)c(O)cc21.O|C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC=O.NCCC1=CC=C(O)C(O)=C1>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NCCc2ccc(O)c(O)c21.O,hyp_tadalafil
20161,2592936974,R11684|MNXR118305|RXN-13794,-1 1467974088;-1 1467898292;1 1467879801;1 1469317935,NCCc1ccc(c(c1)O)O.O=CCC1CC2N(CC1CC)CCc1c2cc(OC)c(c1)OC>>O.CCC1CN2CCc3c(C2CC1CC1NCCc2c1cc(O)c(c2)O)cc(c(c3)OC)OC,BBVFHYCHEWCGBH+VYFYYTLLBUKUHU<=>HGQNZTBYUKKJLH+XLYOFNOQVPJJNP,True,BBVFHYCHEWCGBH+VYFYYTLLBUKUHU<=>HGQNZTBYUKKJLH+XLYOFNOQVPJJNP|BBVFHYCHEWCGBH+VYFYYTLLBUKUHU<=>OIVRTCYSNVQXAR+XLYOFNOQVPJJNP,CCC1CN2CCC3=C(C=C(OC)C(OC)=C3)C2CC1CC=O.NCCC1=CC=C(O)C(O)=C1>>CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(O)c(O)cc21.O|CCC1CN2CCC3=C(C=C(OC)C(OC)=C3)C2CC1CC=O.NCCC1=CC=C(O)C(O)=C1>>CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2ccc(O)c(O)c21.O,hyp_tadalafil
31715,2774371820,rxn04124|rxn06992|MNXR109925,-1 1467974088;-1 1467870508;1 1467879801;1 1467974100,NCCc1c[nH]c2c1cccc2.O=CCC1CC2N(CC1CC)CCc1c2cc(OC)c(c1)OC>>O.CCC1CN2CCc3c(C2CC1CC1NCCc2c1[nH]c1c2cccc1)cc(c(c3)OC)OC,APJYDQYYACXCRM+BBVFHYCHEWCGBH<=>AVJZNOIWPGXYKM+XLYOFNOQVPJJNP,True,APJYDQYYACXCRM+BBVFHYCHEWCGBH<=>AVJZNOIWPGXYKM+XLYOFNOQVPJJNP,CCC1CN2CCC3=C(C=C(OC)C(OC)=C3)C2CC1CC=O.NCCC1=CNC2=C1C=CC=C2>>CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2c1[nH]c1ccccc21.O,hyp_tadalafil
51597,2849729671,RE1918C|MNXR103573,-1 1467898292;-1 1467866648;1 1467879801;1 1467949354,CC=O.NCCc1ccc(c(c1)O)O>>O.CC1NCCc2c1cc(O)c(c2)O,IKHGUXGNUITLKF+VYFYYTLLBUKUHU<=>IBRKLUSXDYATLG+XLYOFNOQVPJJNP,True,IKHGUXGNUITLKF+VYFYYTLLBUKUHU<=>IBRKLUSXDYATLG+XLYOFNOQVPJJNP|IKHGUXGNUITLKF+VYFYYTLLBUKUHU<=>XLYOFNOQVPJJNP+ZGMORAIVFRLFQJ,CC=O.NCCC1=CC=C(O)C(O)=C1>>CC1NCCc2cc(O)c(O)cc21.O|CC=O.NCCC1=CC=C(O)C(O)=C1>>CC1NCCc2ccc(O)c(O)c21.O,hyp_tadalafil
51830,2849733260,R04084|MNXR108645,-1 1467900185;-1 1467898292;1 1467879801;1 1467892230,NCCc1ccc(c(c1)O)O.O=CCc1ccc(c(c1)O)O>>O.Oc1cc(ccc1O)CC1NCCc2c1cc(O)c(c2)O,IADQVXRMSNIUEL+VYFYYTLLBUKUHU<=>ABXZOXDTHTTZJW+XLYOFNOQVPJJNP,True,IADQVXRMSNIUEL+VYFYYTLLBUKUHU<=>ABXZOXDTHTTZJW+XLYOFNOQVPJJNP|IADQVXRMSNIUEL+VYFYYTLLBUKUHU<=>NVUHZZUMBQHXHY+XLYOFNOQVPJJNP,NCCC1=CC=C(O)C(O)=C1.O=CCC1=CC=C(O)C(O)=C1>>O.Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1O|NCCC1=CC=C(O)C(O)=C1.O=CCC1=CC=C(O)C(O)=C1>>O.Oc1ccc(CC2NCCc3ccc(O)c(O)c32)cc1O,hyp_tadalafil
51956,2849735209,Rhea:12296|MNXR109805,-1 1467898292;-1 1467884130;1 1467879801;1 1467925423,O=CCC1C(C=C)C(OC=C1C(=O)OC)OC1OC(CO)C(C(C1O)O)O.NCCc1ccc(c(c1)O)O>>O.C=CC1C(OC=C(C1CC1NCCc2c1cc(O)c(c2)O)C(=O)OC)OC1OC(CO)C(C(C1O)O)O,CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>MTAVTRZTGFLKSC+XLYOFNOQVPJJNP,True,CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>MTAVTRZTGFLKSC+XLYOFNOQVPJJNP|CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>HQOCTHDKGZPZEY+XLYOFNOQVPJJNP,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC=O.NCCC1=CC=C(O)C(O)=C1>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NCCc2cc(O)c(O)cc21.O|C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC=O.NCCC1=CC=C(O)C(O)=C1>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NCCc2ccc(O)c(O)c21.O,hyp_tadalafil
51957,2849735223,Rhea:21756|MNXR109806,-1 1467898292;-1 1467884130;1 1467879801;1 1467925423,O=CCC1C(C=C)C(OC=C1C(=O)OC)OC1OC(CO)C(C(C1O)O)O.NCCc1ccc(c(c1)O)O>>O.C=CC1C(OC=C(C1CC1NCCc2c1cc(O)c(c2)O)C(=O)OC)OC1OC(CO)C(C(C1O)O)O,CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>MTAVTRZTGFLKSC+XLYOFNOQVPJJNP,True,CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>MTAVTRZTGFLKSC+XLYOFNOQVPJJNP|CSKKDSFETGLMSB+VYFYYTLLBUKUHU<=>HQOCTHDKGZPZEY+XLYOFNOQVPJJNP,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC=O.NCCC1=CC=C(O)C(O)=C1>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NCCc2cc(O)c(O)cc21.O|C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC=O.NCCC1=CC=C(O)C(O)=C1>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC1NCCc2ccc(O)c(O)c21.O,hyp_tadalafil
55736,2849817603,RXN-19641,-1 1467885060;-1 1467870508;1 1467879801;1 100260097,NCCc1c[nH]c2c1cccc2.O=CCC1C(C=C)C(OC=C1C(=O)O)OC1OC(CO)C(C(C1O)O)O>>O.OCC1OC(OC2OC=C(C(C2C=C)CC2NCCc3c2[nH]c2c3cccc2)C(=O)O)C(C(C1O)O)O,APJYDQYYACXCRM+PUEUIRDVQIKCCG<=>CMMIVMFGFIBAGC+XLYOFNOQVPJJNP,True,APJYDQYYACXCRM+PUEUIRDVQIKCCG<=>CMMIVMFGFIBAGC+XLYOFNOQVPJJNP,C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC=O.NCCC1=CNC2=C1C=CC=C2>>C=CC1C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)O)C1CC1NCCc2c1[nH]c1ccccc21.O,hyp_tadalafil
