;index;GENERATION;EQUATION;SMILES;RULE;RPAIRS;CONSERVEDRATIO
0;0;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>BAWFJGJZGIEFAR+HABKAKCVCQSSLB;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>COC(O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A1(rev);pairs;ratio
1;1;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>BAWFJGJZGIEFAR+GTOLXBDBXZRCKU;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(O)CO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A1(rev);pairs;ratio
2;52;1;BAWFJGJZGIEFAR+NGIQKHSUJGWVQU<=>BOPGDPNILDQYTO+NO_INCHIKEY+OLTNKHRECIAOBT;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)C=O.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1A1;pairs;ratio
3;65;1;ACFIXJIJDZMPPO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>WYWYKIVXFAKXGD+XJLXINKUBYWONI;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>COC(O)C1(C(=O)O)Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A10(rev);pairs;ratio
4;66;1;ACFIXJIJDZMPPO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>LNGGGNKAMOMKBX+XJLXINKUBYWONI;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(O)C(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A10(rev);pairs;ratio
5;169;1;ACFIXJIJDZMPPO+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>HABKAKCVCQSSLB+XJLXINKUBYWONI;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>COC(O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A2(rev);pairs;ratio
6;170;1;ACFIXJIJDZMPPO+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>GTOLXBDBXZRCKU+XJLXINKUBYWONI;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(O)CO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A2(rev);pairs;ratio
7;221;1;NGIQKHSUJGWVQU+XJLXINKUBYWONI<=>ACFIXJIJDZMPPO+NO_INCHIKEY+OLTNKHRECIAOBT;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CC=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)=C1>>.COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)C=O.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1;1.1.1A2;pairs;ratio
8;234;1;BOPGDPNILDQYTO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>BAWFJGJZGIEFAR+WYWYKIVXFAKXGD;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>COC(O)C1(C(=O)O)Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(=O)CO.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A9(rev);pairs;ratio
9;235;1;BOPGDPNILDQYTO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+NGIQKHSUJGWVQU<=>BAWFJGJZGIEFAR+LNGGGNKAMOMKBX;COC(=O)C1CC2=C(NC3=CC=CC=C32)C(C2=CC=C3OCOC3=C2)N1C(=O)CO.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1C(O)C(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A9(rev);pairs;ratio
