;index;GENERATION;EQUATION;SMILES;RULE;RPAIRS;CONSERVEDRATIO
0;0;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>BAWFJGJZGIEFAR+LRUFWPWAYUDIOZ;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>CNCC(O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A1(rev);pairs;ratio
1;1;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>BAWFJGJZGIEFAR+LGLSEACKEYUKKJ;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1C(O)OC.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A1(rev);pairs;ratio
2;52;1;ACFIXJIJDZMPPO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>DRPKNHIXHWDALT+XJLXINKUBYWONI;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>CNC(C(=O)O)C(O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A10(rev);pairs;ratio
3;53;1;ACFIXJIJDZMPPO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>WDKGIXPOJQQLQT+XJLXINKUBYWONI;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1(C(=O)O)C(O)OC.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A10(rev);pairs;ratio
4;156;1;ACFIXJIJDZMPPO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>LRUFWPWAYUDIOZ+XJLXINKUBYWONI;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>CNCC(O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A2(rev);pairs;ratio
5;157;1;ACFIXJIJDZMPPO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>LGLSEACKEYUKKJ+XJLXINKUBYWONI;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1C(O)OC.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1;1.1.1A2(rev);pairs;ratio
6;208;1;BOPGDPNILDQYTO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>BAWFJGJZGIEFAR+DRPKNHIXHWDALT;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>CNC(C(=O)O)C(O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A9(rev);pairs;ratio
7;209;1;BOPGDPNILDQYTO+CURLTUGMZLYLDI+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>BAWFJGJZGIEFAR+WDKGIXPOJQQLQT;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.O=C=O.[H+]>>CNCC(=O)N1C(c2ccc3c(c2)OCO3)c2[nH]c3ccccc3c2CC1(C(=O)O)C(O)OC.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1;1.1.1A9(rev);pairs;ratio
8;312;1;CURLTUGMZLYLDI+RWXZBJIVTZKYFX<=>IZDFCKBTSBCVSP;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.O=C=O>>CNC(C(=O)O)C(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2;1.1.1B2(rev);pairs;ratio
9;338;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>BAWFJGJZGIEFAR+GBQCLCCJSCXTEO+XLYOFNOQVPJJNP;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>CNC=CN1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O;1.1.1D1(rev);pairs;ratio
10;339;1;BOPGDPNILDQYTO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>BAWFJGJZGIEFAR+XLYOFNOQVPJJNP+ZKFCAFKCFYQUDB;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)C=CC1.[H+]>>CNCC(=O)N1C(=COC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O;1.1.1D1(rev);pairs;ratio
11;390;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+YYQMHPWDJZUQOU;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1C=C2OCOC2=CC1=O.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
12;391;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+ODMLNGZRDKIXBK;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1=CC(=O)C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
13;392;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+MWTPRVGFZZPJCQ+NO_INCHIKEY;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1=CC=C2OCOC2C1=O.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
14;393;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+RPAUNOSJOYRSPX;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c2CC(=O)C=C3)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
15;394;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+VKGAZCGSZSLUFM;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c2C(=O)CC=C3)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
16;395;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+UWZQSOKYPAMVEU;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c2C=CCC3=O)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
17;396;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+WOBPIUPCVSXMDC;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c2C=CC(=O)C3)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
18;397;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+NREQENITGSUQAR;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1C=CC2=C(OCO2)C1=O.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
19;398;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+BQIHYKWIQDCTLZ+NO_INCHIKEY;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1=CC2=C(OCO2)C(=O)C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
20;399;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+YCURZYIJXVGZCV;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1=CC2=C(CC1=O)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
21;439;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+GPBVUEJSQJYLFJ+NO_INCHIKEY;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)CC2=C(NC3C(=O)C=CC=C23)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
22;440;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+OIZXGCPYGIDGSJ;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=CC=CC(=O)C32)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
23;441;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+IESUVAYQUCEHHG+NO_INCHIKEY;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c2=CCC(=O)C=3)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
24;442;1;BAWFJGJZGIEFAR+RWXZBJIVTZKYFX+XLYOFNOQVPJJNP<=>BOPGDPNILDQYTO+NO_INCHIKEY+ZMWYTGKGQNJWGM;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(O)C3O)C(O)C2O)=CC=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3c2=CC(=O)CC=3)C1c1ccc2c(c1)OCO2.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1;1.1.1D1;pairs;ratio
25;481;1;ACFIXJIJDZMPPO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>GBQCLCCJSCXTEO+XJLXINKUBYWONI+XLYOFNOQVPJJNP;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>CNC=CN1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O;1.1.1D2(rev);pairs;ratio
26;482;1;ACFIXJIJDZMPPO+GPRLSGONYQIRFK+RWXZBJIVTZKYFX<=>XJLXINKUBYWONI+XLYOFNOQVPJJNP+ZKFCAFKCFYQUDB;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.[H+]>>CNCC(=O)N1C(=COC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O;1.1.1D2(rev);pairs;ratio
27;533;1;RWXZBJIVTZKYFX+XJLXINKUBYWONI+XLYOFNOQVPJJNP<=>ACFIXJIJDZMPPO+NO_INCHIKEY+YYQMHPWDJZUQOU;CNCC(=O)N1C(C(=O)OC)CC2=C(NC3=C2C=CC=C3)C1C1=CC=C2OCOC2=C1.NC(=O)C1=CC=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(N4C=NC5=C(N)N=CN=C54)C(OP(=O)(O)O)C3O)C(O)C2O)=C1.O>>.CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1C1C=C2OCOC2=CC1=O.NC(=O)C1=C[N+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1;1.1.1D2;pairs;ratio
