metabolite name	formula	KEGG	CHEBI	MetaNetX	metaboliteLCSBID
(1->3)-beta-D-glucan [cell envelope]	C6H10O5	C00965	CHEBI:37671	MNXM6492	1467865936
(1->3)-beta-D-glucan [cytoplasm]	C6H10O5	C00965	CHEBI:37671	MNXM6492	1467865936
(1->3)-beta-D-glucan [extracellular]	C6H10O5	C00965	CHEBI:37671	MNXM6492	1467865936
(1->6)-beta-D-glucan [cell envelope]	C6H10O5	C02493	CHEBI:27380	MNXM9375	1467886687
(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [mitochondrion]	C7H8N5O8P2	C04807	CHEBI:57602	MNXM1160	1467905739
(2E)-3-(methoxycarbonyl)pent-2-enedioic acid [cytoplasm]	C7H6O6	C11514	CHEBI:57470	MNXM3742	1467971113
(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]	C6H11O4	C06007	CHEBI:49258	MNXM1202	1467900662
(2R,3S)-3-isopropylmalate [cytoplasm]	C7H10O5	C04411	CHEBI:35121	MNXM891	1467902766
(2S)-2-isopropyl-3-oxosuccinate [cytoplasm]	C7H8O5	C04236	CHEBI:17214	MNXM1602	1467901603
(2S)-2-isopropyl-3-oxosuccinate [mitochondrion]	C7H8O5	C04236	CHEBI:17214	MNXM1602	1467901603
(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid [mitochondrion]	C7H7O7	C04593	CHEBI:57429	MNXM1694	1467904131
(5S,6S)-di-HETE [cytoplasm]	C20H31O4	nan	CHEBI:53026	MNXM31306	1468185729
(5S,6S)-di-HETE [nucleus]	C20H31O4	nan	CHEBI:53026	MNXM31306	1468185729
(N(omega)-L-arginino)succinic acid [cytoplasm]	C10H17N4O6	C03406	CHEBI:57472	MNXM550	1467895842
(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]	C5H9O4	C04272	CHEBI:49072	MNXM114097	1467900157
(R)-4'-phosphopantothenic acid [cytoplasm]	C9H15NO8P	C03492	CHEBI:15905	MNXM415	1467896394
(R)-5-diphosphomevalonic acid [cytoplasm]	C6H11O10P2	C01143	CHEBI:57557	MNXM689	1467878092
(R)-5-phosphomevalonic acid [cytoplasm]	C6H10O7P	C01107	CHEBI:58146	MNXM567	1467877736
(R)-acetoin [cytoplasm]	C4H8O2	C00810	CHEBI:15686	MNXM664	1467871215
(R)-carnitine [cytoplasm]	C7H15NO3	C00318	CHEBI:16347	MNXM173	1467871455
(R)-carnitine [extracellular]	C7H15NO3	C00318	CHEBI:16347	MNXM173	1467871455
(R)-carnitine [mitochondrion]	C7H15NO3	C00318	CHEBI:16347	MNXM173	1467871455
(R)-carnitine [peroxisome]	C7H15NO3	C00318	CHEBI:16347	MNXM173	1467871455
(R)-lactate [cytoplasm]	C3H5O3	C00256	CHEBI:16004	MNXM285	1467868029
(R)-lactate [extracellular]	C3H5O3	C00256	CHEBI:16004	MNXM285	1467868029
(R)-lactate [mitochondrion]	C3H5O3	C00256	CHEBI:16004	MNXM285	1467868029
(R)-mevalonate [cytoplasm]	C6H11O4	C00418	CHEBI:36464	MNXM333	1467870760
(R)-mevalonate [extracellular]	C6H11O4	C00418	CHEBI:36464	MNXM333	1467870760
(R)-pantoate [cytoplasm]	C6H11O4	C00522	CHEBI:15980	MNXM593	1467871904
(R)-pantothenate [cytoplasm]	C9H16NO5	C00864	CHEBI:29032	MNXM364	1467875442
(R)-pantothenate [extracellular]	C9H16NO5	C00864	CHEBI:29032	MNXM364	1467875442
(R)-S-lactoylglutathione [cytoplasm]	C13H20N3O8S	C03451	CHEBI:57474	MNXM1253	1467896139
(R)-S-lactoylglutathione [mitochondrion]	C13H20N3O8S	C03451	CHEBI:57474	MNXM1253	1467896139
(R,R)-2,3-butanediol [cytoplasm]	C4H10O2	C03044	CHEBI:16982	MNXM2757	1467893267
(R,R)-2,3-butanediol [extracellular]	C4H10O2	C03044	CHEBI:16982	MNXM2757	1467893267
(S)-2,3-epoxysqualene [cytoplasm]	C30H50O	C01054	CHEBI:15441	MNXM130	1467877253
(S)-2,3-epoxysqualene [endoplasmic reticulum]	C30H50O	C01054	CHEBI:15441	MNXM130	1467877253
(S)-2-acetyl-2-hydroxybutanoate [mitochondrion]	C6H9O4	nan	CHEBI:49256	MNXM114220	1467873274
(R)-3-hydroxydecanoyl-CoA [peroxisome]	C31H51N7O18P3S	C05264	CHEBI:28325	MNXM674	1467908038
(S)-3-hydroxyhexacosanoyl-CoA [peroxisome]	C47H83N7O18P3S	nan	CHEBI:52976	MNXM31741	1468095493
(R)-3-hydroxylauroyl-CoA [peroxisome]	C33H55N7O18P3S	C05262	CHEBI:27668	MNXM733	1467908016
(S)-3-hydroxypalmitoyl-CoA [peroxisome]	C37H63N7O18P3S	C05258	CHEBI:27402	MNXM825	1467907975
(S)-3-hydroxytetradecanoyl-CoA [peroxisome]	C35H59N7O18P3S	C05260	CHEBI:27466	MNXM767	1467907997
(S)-3-methyl-2-oxopentanoate [cytoplasm]	C6H9O3	C00671	CHEBI:35146	MNXM439	1467873396
(S)-3-methyl-2-oxopentanoate [extracellular]	C6H9O3	C00671	CHEBI:35146	MNXM439	1467873396
(S)-3-methyl-2-oxopentanoate [mitochondrion]	C6H9O3	C00671	CHEBI:35146	MNXM439	1467873396
(S)-dihydroorotate [cytoplasm]	C5H5N2O4	C00337	CHEBI:30864	MNXM252	1467869829
(S)-lactaldehyde [cytoplasm]	C3H6O2	C00424	CHEBI:18041	MNXM2387	1467870817
(S)-lactate [cytoplasm]	C3H5O3	C00186	CHEBI:16651	MNXM179	1467868029
(S)-lactate [extracellular]	C3H5O3	C00186	CHEBI:16651	MNXM179	1467868029
(S)-lactate [mitochondrion]	C3H5O3	C00186	CHEBI:16651	MNXM179	1467868029
(S)-malate [cytoplasm]	C4H4O5	C00149	CHEBI:15589	MNXM98	1467867543
(S)-malate [extracellular]	C4H4O5	C00149	CHEBI:15589	MNXM98	1467867543
(S)-malate [mitochondrion]	C4H4O5	C00149	CHEBI:15589	MNXM98	1467867543
(S)-malate [peroxisome]	C4H4O5	C00149	CHEBI:15589	MNXM98	1467867543
1,3-bisphospho-D-glycerate [cytoplasm]	C3H4O10P2	C00236	CHEBI:57604	MNXM261	1467868676
1-(2-carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate [cytoplasm]	C12H13NO9P	C01302	CHEBI:58613	MNXM1455	1467879628
1-(5-phospho-D-ribosyl)-5-[(5-phospho-D-ribosylamino)methylideneamino]imidazole-4-carboxamide [cytoplasm]	C15H22N5O15P2	C04896	CHEBI:58435	MNXM1397	1467906383
1-(5-phosphoribosyl)-5'-AMP [cytoplasm]	C15H21N5O14P2	C02741	CHEBI:59457	MNXM1515	10797
1-(sn-glycero-3-phospho)-1D-myo-inositol [cytoplasm]	C9H18O11P	C01225	CHEBI:58444	MNXM1517	1467878908
1-(sn-glycero-3-phospho)-1D-myo-inositol [extracellular]	C9H18O11P	C01225	CHEBI:58444	MNXM1517	1467878908
1-acylglycerophosphocholine [extracellular]	C9H20NO7PR	C04230	CHEBI:11230	MNXM96952	1467901553
1-C-(indol-3-yl)glycerol 3-phosphate [cytoplasm]	C11H12NO6P	C03506	CHEBI:60820	MNXM163633	1467896500
1-methylnicotinamide [cytoplasm]	C7H9N2O	C02918	CHEBI:16797	MNXM2172	1467892254
1-phosphatidyl-1D-myo-inositol backbone [cytoplasm]	C9H15O9P	C01194	CHEBI:57880	MNXM62	1467878612
1-pyrroline-3-hydroxy-5-carboxylic acid [cytoplasm]	C5H6NO3	C04281	CHEBI:58509	MNXM848	1467901893
1-pyrroline-3-hydroxy-5-carboxylic acid [mitochondrion]	C5H6NO3	C04281	CHEBI:58509	MNXM848	1467901893
1-pyrroline-5-carboxylate [cytoplasm]	C5H6NO2	C04322	CHEBI:15893	MNXM1617	1467899307
1-pyrroline-5-carboxylate [mitochondrion]	C5H6NO2	C04322	CHEBI:15893	MNXM1617	1467899307
10-formyl-THF [cytoplasm]	C20H21N7O7	C00234	CHEBI:57454	MNXM237	1467868643
10-formyl-THF [mitochondrion]	C20H21N7O7	C00234	CHEBI:57454	MNXM237	1467868643
14-demethyllanosterol [cytoplasm]	C29H48O	C05108	CHEBI:18364	MNXM913	1467907027
1D-myo-inositol 1,3,4,5-tetrakisphosphate [nucleus]	C6H8O18P4	C01272	CHEBI:57895	MNXM624	1467879341
1D-myo-inositol 1,4,5,6-tetrakisphosphate [nucleus]	C6H8O18P4	C11555	CHEBI:57627	MNXM1620	1467903545
1D-myo-inositol 1,4,5-trisphosphate [nucleus]	C6H9O15P3	C01245	CHEBI:203600	MNXM200	1467879075
1D-myo-inositol 1-phosphate [cytoplasm]	C6H11O9P	C01177	CHEBI:58433	MNXM646	1467878427
1D-myo-inositol 1-phosphate [endoplasmic reticulum]	C6H11O9P	C01177	CHEBI:58433	MNXM646	1467878427
1D-myo-inositol 3-phosphate [mitochondrion]	C6H11O9P	C04006	CHEBI:58401	MNXM540	1467878427
2',3'-cyclic AMP [cytoplasm]	C10H12N5O6P	C02353	CHEBI:60879	MNXM2598	1467888240
2'-deoxyadenosine [cytoplasm]	C10H14N5O3	C00559	CHEBI:17256	MNXM625	1467872331
2'-deoxyadenosine [extracellular]	C10H14N5O3	C00559	CHEBI:17256	MNXM625	1467872331
2'-deoxyguanosine [cytoplasm]	C10H13N5O4	C00330	CHEBI:17172	MNXM647	1467869751
2'-deoxyguanosine [extracellular]	C10H13N5O4	C00330	CHEBI:17172	MNXM647	1467869751
2'-deoxyinosine [cytoplasm]	C10H13N4O4	C05512	CHEBI:28997	MNXM935	1467910150
2'-deoxyinosine [extracellular]	C10H13N4O4	C05512	CHEBI:28997	MNXM935	1467910150
2'-deoxyuridine [cytoplasm]	C9H12N2O5	C00526	CHEBI:16450	MNXM492	1467871955
2'-deoxyuridine [extracellular]	C9H12N2O5	C00526	CHEBI:16450	MNXM492	1467871955
2,3-bisphospho-D-glyceric acid [cytoplasm]	C3H3O10P2	C01159	CHEBI:58248	MNXM892	1467878239
2,5-diamino-4-hydroxy-6-(5-phosphoribosylamino)pyrimidine [cytoplasm]	C9H14N5O8P	C01304	CHEBI:58614	MNXM648	1467879639
2,5-diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone [cytoplasm]	C9H16N5O8P	nan	CHEBI:52402	MNXM1099	1468032525
2-(3-amino-3-carboxypropyl)-L-histidine [cytoplasm]	C10H16N4O4	C04441	CHEBI:17144	MNXM3804	1467902985
2-[3-carboxy-3-(methylammonio)propyl]-L-histidine [cytoplasm]	C11H18N4O4	C04692	CHEBI:57784	MNXM3805	1467904913
2-acetamido-5-oxopentanoate [mitochondrion]	C7H10NO4	C01250	CHEBI:29123	MNXM1062	1467879139
2-acetyllactic acid [mitochondrion]	C5H7O4	C00900	CHEBI:57774	MNXM426	1467875820
2-amino-3-carboxymuconate-6-semialdehyde [cytoplasm]	C7H6NO5	nan	CHEBI:29044	MNXM1372	1467902754
2-amino-6-(hydroxymethyl)-7,8-dihydropteridin-4-ol [mitochondrion]	C7H9N5O2	C01300	CHEBI:17083	MNXM937	1467879603
2-dehydropantoate [cytoplasm]	C6H9O4	C00966	CHEBI:11561	MNXM959	1467876437
2-dehydropantoate [mitochondrion]	C6H9O4	C00966	CHEBI:11561	MNXM959	1467876437
2-deoxy-D-ribose [cytoplasm]	C5H10O4	C01801	CHEBI:28816	MNXM2474	1467883705
2-deoxy-D-ribose 5-phosphate [cytoplasm]	C5H9O7P	C00673	CHEBI:57651	MNXM2179	1467873423
2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	C38H55O4	C05805	CHEBI:28753	MNXM5466	1467912410
2-hexaprenyl-6-methoxy-1,4-benzoquinone [mitochondrion]	C37H54O3	C05803	CHEBI:27752	MNXM6707	1467912390
2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone [mitochondrion]	C38H56O3	C05804	CHEBI:28711	MNXM6067	1467912400
2-hexaprenyl-6-methoxyphenol [mitochondrion]	C37H56O2	C05802	CHEBI:1109	MNXM4291	1467912379
2-hydroxy-3-oxobutyl phosphate [cytoplasm]	C4H7O6P	C15556	CHEBI:50606	MNXM2323	1468002470
2-hydroxyhexadecanal [endoplasmic reticulum]	C16H32O2	nan	CHEBI:50626	MNXM35167	1468174284
2-isopropylmalate [cytoplasm]	C7H10O5	C02504	CHEBI:28107	MNXM164143	1467889321
2-isopropylmalate [extracellular]	C7H10O5	C02504	CHEBI:28107	MNXM164143	1467889321
2-isopropylmalate [mitochondrion]	C7H10O5	C02504	CHEBI:28107	MNXM164143	1467889321
2-isopropylmaleic acid [cytoplasm]	C7H8O4	C02631	CHEBI:58085	MNXM1706	1467890172
2-methylbutanal [cytoplasm]	C5H10O	C02223	CHEBI:16182	MNXM2604	1467887209
2-methylbutanal [extracellular]	C5H10O	C02223	CHEBI:16182	MNXM2604	1467887209
2-methylbutanal [mitochondrion]	C5H10O	C02223	CHEBI:16182	MNXM2604	1467887209
2-methylbutanol [cytoplasm]	C5H12O	nan	CHEBI:48945	MNXM5476	1468169337
2-methylbutanol [extracellular]	C5H12O	nan	CHEBI:48945	MNXM5476	1468169337
2-methylbutanol [mitochondrion]	C5H12O	nan	CHEBI:48945	MNXM5476	1468169337
2-methylbutyl acetate [cytoplasm]	C7H14O2	nan	CHEBI:50585	MNXM35277	1468174061
2-methylbutyl acetate [extracellular]	C7H14O2	nan	CHEBI:50585	MNXM35277	1468174061
2-methylcitrate [mitochondrion]	C7H7O7	C02225	CHEBI:15598	MNXM90279	1467887229
2-oxoadipic acid [cytoplasm]	C6H6O5	C00322	CHEBI:57499	MNXM263	1467869652
2-oxoadipic acid [mitochondrion]	C6H6O5	C00322	CHEBI:57499	MNXM263	1467869652
2-oxobutanoate [cytoplasm]	C4H5O3	C00109	CHEBI:16763	MNXM159	1467866997
2-oxobutanoate [mitochondrion]	C4H5O3	C00109	CHEBI:16763	MNXM159	1467866997
2-oxoglutarate [cytoplasm]	C5H4O5	C00026	CHEBI:16810	MNXM20	1467865872
2-oxoglutarate [extracellular]	C5H4O5	C00026	CHEBI:16810	MNXM20	1467865872
2-oxoglutarate [mitochondrion]	C5H4O5	C00026	CHEBI:16810	MNXM20	1467865872
2-oxoglutarate [nucleus]	C5H4O5	C00026	CHEBI:16810	MNXM20	1467865872
2-oxoglutarate [peroxisome]	C5H4O5	C00026	CHEBI:16810	MNXM20	1467865872
2-phenylethanol [cytoplasm]	C8H10O	C05853	CHEBI:49000	MNXM2476	1467912893
2-phenylethanol [extracellular]	C8H10O	C05853	CHEBI:49000	MNXM2476	1467912893
2-phenylethanol [mitochondrion]	C8H10O	C05853	CHEBI:49000	MNXM2476	1467912893
2-phospho-D-glyceric acid [cytoplasm]	C3H4O7P	C00631	CHEBI:58289	MNXM275	1467872997
geranylgeranyl diphosphate [cytoplasm]	C20H34O7P2	C00353	CHEBI:58756	MNXM139	1467870003
farnesyl diphosphate [cytoplasm]	C15H26O7P2	C00448	CHEBI:175763	MNXM34	1467871046
farnesyl diphosphate [mitochondrion]	C15H26O7P2	C00448	CHEBI:175763	MNXM34	1467871046
3',5'-cyclic AMP [cytoplasm]	C10H12N5O6P	C00575	CHEBI:58165	MNXM243	1467872465
3',5'-cyclic CMP [cytoplasm]	C9H11N3O7P	C00941	CHEBI:58003	MNXM3162	1467876192
3',5'-cyclic dAMP [cytoplasm]	C10H12N5O5P	C00968	CHEBI:28074	MNXM9931	1467876449
3',5'-cyclic GMP [cytoplasm]	C10H11N5O7P	C00942	CHEBI:57746	MNXM665	1467876203
3',5'-cyclic IMP [cytoplasm]	C10H11N4O7P	C00943	CHEBI:27541	MNXM9932	1467876217
3'-dephospho-CoA [cytoplasm]	C21H34N7O13P2S	C00882	CHEBI:57328	MNXM481	1467875621
3'-dephospho-CoA [mitochondrion]	C21H34N7O13P2S	C00882	CHEBI:57328	MNXM481	1467875621
3'-phospho-5'-adenylyl sulfate [cytoplasm]	C10H12N5O13P2S	C00053	CHEBI:58339	MNXM49	1467866249
3-(4-hydroxyphenyl)pyruvate [cytoplasm]	C9H7O4	C01179	CHEBI:36242	MNXM153	1467878443
3-(4-hydroxyphenyl)pyruvate [peroxisome]	C9H7O4	C01179	CHEBI:36242	MNXM153	1467878443
3-(imidazol-4-yl)-2-oxopropyl dihydrogen phosphate [cytoplasm]	C6H7N2O5P	C01267	CHEBI:57766	MNXM1456	1467879286
3-aminopropanal [cytoplasm]	C3H8NO	nan	CHEBI:58374	MNXM493	1467911289
3-dehydro-4-methylzymosterol [cytoplasm]	C28H44O	C15816	CHEBI:50593	MNXM36392	1468004953
3-dehydroquinate [cytoplasm]	C7H9O6	C00944	CHEBI:32364	MNXM478	1467876226
3-dehydroshikimate [cytoplasm]	C7H7O5	C02637	CHEBI:16630	MNXM611	1467890251
3-hexaprenyl-4,5-dihydroxybenzoic acid [cytoplasm]	C37H53O4	C05200	CHEBI:58373	MNXM2783	1467907694
3-hexaprenyl-4,5-dihydroxybenzoic acid [mitochondrion]	C37H53O4	C05200	CHEBI:58373	MNXM2783	1467907694
3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid [mitochondrion]	C38H55O4	C05313	CHEBI:57916	MNXM3166	1467908486
3-hexaprenyl-4-hydroxybenzoic acid [cytoplasm]	C37H53O3	C13425	CHEBI:31116	MNXM3167	1467983411
3-hexaprenyl-4-hydroxybenzoic acid [mitochondrion]	C37H53O3	C13425	CHEBI:31116	MNXM3167	1467983411
3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate [cytoplasm]	C8H13O5	nan	CHEBI:52960	MNXM36486	1468185429
3-hydroxy-3-methylglutaryl-CoA [cytoplasm]	C27H40N7O20P3S	C00356	CHEBI:11814	MNXM36493	1467870052
3-hydroxy-3-methylglutaryl-CoA [mitochondrion]	C27H40N7O20P3S	C00356	CHEBI:11814	MNXM36493	1467870052
3-hydroxy-L-kynurenine [cytoplasm]	C10H12N2O4	C03227	CHEBI:17380	MNXM576	1467891430
