M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE	M_XR_ALL_OTHER	M_XR_KEGG
1916722	(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid methyl ester	KCUNTYMNJVXYKZ	COC(=O)C(Cc1c[nH]c2c1cccc2)N	C12H14N2O2	0.0		
383753545	[5-(6-aminopurin-9-yl)-4-hydroxy-2-[[[[(3R)-3-hydroxy-2,2-dimethyl-4-[[3-[2-(methylthio)ethylamino]-3-oxopropyl]amino]-4-oxobutoxy]-oxidophosphoryl]oxy-oxidophosphoryl]oxymethyl]-3-oxolanyl] phosphate	NYNSZKVCAZNSEH	CSCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)([O-])[O-])O)n1cnc2c1ncnc2N)[O-])[O-])(C)C)O	C22H34N7O16P3S----	-4.0		
1467865544	NAD+	BAWFJGJZGIEFAR	OC1C(O)C(OC1[n+]1cccc(c1)C(=O)N)COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O)O	C21H28N7O14P2+	1.0	ChEBI: 15846,CHEMBL1234613,CHEMBL1402028,CHEMBL1454168,CHEMBL1517480,CHEMBL234870,CHEMBL3287053,CPD-16008,cpd00003,DB14128,FDB022309,HMDB0000902,MNXM166986,MNXM588016,MNXM8,NAD,nadp	C00003
1467865563	NADH	BOPGDPNILDQYTO	OC1C(O)C(OC1N1C=CCC(=C1)C(=O)N)COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc2c1ncnc2N)O)O	C21H29N7O14P2	0.0	ChEBI: 16908,CHEMBL1161866,CPD-16006,cpd00004,DB00157,FDB022649,HMDB0001487,MNXM10,MNXM146525,NADH	C00004,C20744
1467865578	NADPH	ACFIXJIJDZMPPO	OC1C(O)C(OC1N1C=CCC(=C1)C(=O)N)COP(=O)(OP(=O)(OCC1OC(C(C1O)OP(=O)(O)O)n1cnc2c1ncnc2N)O)O	C21H30N7O17P3	0.0	ChEBI: 16474,CHEMBL1594246,CHEMBL1619387,CHEMBL1623059,CHEMBL407009,CPD-16005,cpd00005,DB02338,FDB021909,HMDB0000221,MNXM146364,MNXM6,NADPH	C00005,C20745
1467865592	NADP+	XJLXINKUBYWONI	OC1C(O)C(OC1[n+]1cccc(c1)C(=O)N)COP(=O)(OP(=O)(OCC1OC(C(C1O)OP(=O)(O)O)n1cnc2c1ncnc2N)O)O	C21H29N7O17P3+	1.0	ChEBI: 18009,CHEMBL1623886,CHEMBL2364573,CHEMBL295069,CPD-16007,cpd00006,DB03461,EXPT02293,FDB021908,HMDB0000217,MNXM164519,MNXM5,MNXM588022,NADP	C00006
1467865610	Oxygen	MYMOFIZGZYHOMD	O=O	O2	0.0	ChEBI: 15379 25805,CHEMBL1234886,cpd00007,DB09140,FDB022589,HMDB0001377,MNXM4,OXYGEN-MOLECULE	C00007
1467865652	CoA	RGJOEKWQDUBAIZ	SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C21H36N7O16P3S	0.0	ChEBI: 15346,CHEMBL1213327,CHEMBL1623949,CO-A,cpd00010,DB01992,EXPT00991,FDB022614,HMDB0001423,HMDB0062184,MNXM12,MNXM468434	C00010
1467865667	CO2	CURLTUGMZLYLDI	O=C=O	CO2	0.0	CARBON-DIOXIDE,ChEBI: 16526,CHEMBL1231871,cpd00011,DB09157,FDB014084,HMDB0001967,MNXM13	C00011
1467865731	FAD	VWWQXMAJTJZDQX	O=c1[nH]c(=O)c2c(n1)n(CC(C(C(COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc3c1ncnc3N)O)O)O)O)O)c1c(n2)cc(c(c1)C)C	C27H33N9O15P2	0.0	ChEBI: 16238,CHEMBL1232653,CHEMBL3580425,cpd00015,DB02332,DB03147,EXPT01392,FAD,FDB022511,HMDB0001248	C00016
1467865767	S-Adenosyl-L-methionine	MEFKEPWMEQBLKI	C[S+](CC1OC(C(C1O)O)n1cnc2c1ncnc2N)CCC(C(=O)[O-])[NH3+]	C15H23N6O5S+	1.0	ChEBI: 15414 67040,CHEMBL1088977,CHEMBL2220241,CHEMBL224120,CHEMBL24991,CHEMBL3560400,CPD-20699,CPD0-2554,cpd00017,DB00118,FDB022473,HMDB0001185,HMDB0062709,MNXM16,MNXM491072,S-Adenosylmethionine	C00019
1467865798	S-Adenosyl-L-homocysteine	ZJUKTBDSGOFHSH	OC(=O)C(CCSCC1OC(C(C1O)O)n1cnc2c1ncnc2N)N	C14H20N6O5S	0.0	ADENOSYL-HOMO-CYS,ChEBI: 16680,CHEMBL142828,CHEMBL418052,CHEMBL45041,CHEMBL597532,cpd00019,DB01752,EXPT02842,FDB022327,HMDB0000939,MNXM19	C00021
1467865888	Hydrogen peroxide	MHAJPDPJQMAIIY	OO	H2O2	0.0	ChEBI: 16240,CHEMBL71595,cpd00025,DB11091,FDB014562,HMDB0003125,HYDROGEN-PEROXIDE,MNXM22	C00027
1467865967	Acetate	QTBSBXVTEAMEQO	CC(=O)O	C2H4O2	0.0	ACET,ChEBI: 15366 30089,CHEMBL539,cpd00029,DB03166,DB04184,DB14511,DB15111,EXPT00423,FDB008299,GLYOX,HMDB0000042,HS,MNXM26	C00033
1467866565	L-Tryptophan	QIVBCDIJIAJPQS	OC(=O)C(Cc1c[nH]c2c1cccc2)N	C11H12N2O2	0.0	ChEBI: 16828,CHEMBL292303,CHEMBL484901,CHEMBL54976,cpd00065,cpd00411,cpd19007,D-TRYPTOPHAN,DB00150,DB03225,EXPT02064,FDB002250,HMDB0000929,HMDB0013609,HMDB0030396,MNXM1373,MNXM94,NUTR00058,TRP	C00078,C00525,C00806
1467867313	Methanol	OKKJLVBELUTLKV	CO	CH4O	0.0	ChEBI: 17790,CHEMBL14688,cpd00116,FDB008124,HMDB0001875,METOH,MNXM157	C00132
