reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R09846(r)/3.1.1A1/;	2/3.1.1A1;	0.151179	1	1	0.714286	0.45	0.216216	0.120968	0.0662983	0.0350195
R11166/3.1.1A1/3.1.1.97;	2/3.1.1A1;	0.148252	1	1	0.904762	0.722222	0.333333	0.102564	0.0108108	0
R03612/3.1.1A1/3.1.1.70;	2/3.1.1A1;	0.135475	1	0.714286	0.44	0.27907	0.180556	0.125	0.079096	0.0395257
R03612/3.1.1A1/3.1.1.70;	2/3.1.1A1;	0.135475	1	0.714286	0.44	0.27907	0.180556	0.125	0.079096	0.0395257
R03612/3.1.1A1/3.1.1.70;	2/3.1.1A1;	0.135475	1	0.714286	0.44	0.27907	0.180556	0.125	0.079096	0.0395257
R08975/3.1.1A1/3.1.1.82;	2/3.1.1A1;	0.126095	1	0.714286	0.37931	0.2	0.150442	0.137566	0.106529	0.0576037
R06729/3.1.1A1/;	2/3.1.1A1;	0.118743	1	0.714286	0.428571	0.236364	0.154639	0.108974	0.0648148	0.0320285
R09068/3.1.1A1/3.1.1.14;	2/3.1.1A1;	0.118557	1	0.714286	0.478261	0.232558	0.131579	0.103175	0.0615385	0.0487805
R05618/3.1.1A1/3.1.1.14;	2/3.1.1A1;	0.118557	1	0.714286	0.478261	0.232558	0.131579	0.103175	0.0615385	0.0487805
R08970/3.1.1A1/3.1.1.81;	2/3.1.1A1;	0.116942	1	0.857143	0.727273	0.439024	0.175676	0.0508475	0.00625	0
R10134/3.1.1A1/3.1.1.93;	2/3.1.1A1;	0.115789	1	0.625	0.354839	0.214286	0.134021	0.0886076	0.0669856	0.0471014
R10134/3.1.1A1/3.1.1.93;	2/3.1.1A1;	0.115789	1	0.625	0.354839	0.214286	0.134021	0.0886076	0.0669856	0.0471014
R03692/3.1.1A1/3.1.1.35;	2/3.1.1A1;	0.113307	1	0.625	0.354839	0.207547	0.126437	0.0863309	0.0614525	0.0330579
R06391,R06393/3.1.1A1/3.1.1.83;	2/3.1.1A1;	0.104603	1	0.625	0.37931	0.244898	0.12	0.0737705	0.0393258	0.0211864
R03692/3.1.1A1/3.1.1.35;	2/3.1.1A1;	0.104575	1	0.625	0.354839	0.207547	0.126437	0.0785714	0.0497238	0.0204082
R03564(r)/3.1.1A1/;	2/3.1.1A1;	0.104211	1	0.555556	0.297297	0.2	0.155963	0.107143	0.0553191	0.0163399
R03563/3.1.1A1/3.1.1.10;	2/3.1.1A1;	0.104211	1	0.555556	0.297297	0.2	0.155963	0.107143	0.0553191	0.0163399
R03563/3.1.1A1/3.1.1.10;	2/3.1.1A1;	0.104211	1	0.555556	0.297297	0.2	0.155963	0.107143	0.0553191	0.0163399
R03564(r)/3.1.1A1/;	2/3.1.1A1;	0.104211	1	0.555556	0.297297	0.2	0.155963	0.107143	0.0553191	0.0163399
R10545/3.1.1A1/3.1.1.95;	2/3.1.1A1;	0.104167	1	0.714286	0.354839	0.193548	0.12069	0.100529	0.0709459	0.0486111
R11202/3.1.1A1/3.1.1.98;	2/3.1.1A1;	0.103896	1	0.714286	0.5	0.309524	0.148649	0.0677966	0.0297619	0.00414938
R06390,R06392/3.1.1A1/3.1.1.83;	2/3.1.1A1;	0.103208	1	0.625	0.37931	0.26087	0.142857	0.0967742	0.0344828	0
R09725/3.1.1A1/3.1.1.85;	2/3.1.1A1;	0.103011	1	0.833333	0.578947	0.294118	0.15	0.0666667	0.0316456	0.004329
R09337/3.1.1A1/3.1.1.95;	2/3.1.1A1;	0.101609	1	0.714286	0.354839	0.1875	0.116667	0.0954774	0.0697674	0.0477273
R06685/3.1.1A1/;	2/3.1.1A1;	0.101609	1	0.714286	0.354839	0.1875	0.116667	0.0954774	0.0697674	0.0477273
R04070/3.1.1A1/3.1.1.48;	2/3.1.1A1;	0.1	0.833333	0.714286	0.7	0.388889	0.125	0.0555556	0.0122699	0.00429185
R03049/3.1.1A1/3.1.1.63;	2/3.1.1A1;	0.0953079	1	0.714286	0.478261	0.243902	0.130435	0.0614035	0.0299401	0.00413223
R02368,R03049/3.1.1A1/3.1.1.63;	2/3.1.1A1;	0.0953079	1	0.714286	0.478261	0.243902	0.130435	0.0614035	0.0299401	0.00413223
R02624/3.1.1A1/3.1.1.61;	2/3.1.1A1;	0.0945946	1	0.833333	0.578947	0.314286	0.136364	0.0689655	0.0117647	0
R03751/3.1.1A1/3.1.1.17,3.1.1.83;	2/3.1.1A1;	0.0923077	1	0.714286	0.478261	0.25641	0.121212	0.0545455	0.0186335	0
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0921248	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0289256
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0921248	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0289256
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0921248	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0289256
R09724/3.1.1A1/3.1.1.88;	2/3.1.1A1;	0.0904872	1	0.625	0.297297	0.184615	0.137255	0.08	0.0291262	0.00364964
R09724/3.1.1A1/3.1.1.88;	2/3.1.1A1;	0.0904872	1	0.625	0.297297	0.184615	0.137255	0.08	0.0291262	0.00364964
R09724/3.1.1A1/3.1.1.88;	2/3.1.1A1;	0.0904872	1	0.625	0.297297	0.184615	0.137255	0.08	0.0291262	0.00364964
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0888889	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0204918
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0888889	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0204918
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0888889	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0204918
R10398/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0888889	1	0.833333	0.428571	0.162162	0.0735294	0.0521739	0.0421687	0.0204918
R10401/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0881935	1	0.833333	0.428571	0.162162	0.0714286	0.0504202	0.04	0.0272374
R10401/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0881935	1	0.833333	0.428571	0.162162	0.0714286	0.0504202	0.04	0.0272374
R03803/3.1.1A1/3.1.1.46;	2/3.1.1A1;	0.0854127	1	0.714286	0.37931	0.169492	0.0973451	0.0687831	0.0494297	0.0247934
R10401/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0851064	1	0.833333	0.428571	0.162162	0.0714286	0.0504202	0.04	0.019305
R10401/3.1.1A1/3.1.1.94;	2/3.1.1A1;	0.0851064	1	0.833333	0.428571	0.162162	0.0714286	0.0504202	0.04	0.019305
R05880/3.1.1A1/3.1.1.80;	2/3.1.1A1;	0.0835003	1	0.714286	0.3125	0.134328	0.115385	0.0840336	0.0576441	0.0429752
R08979/3.1.1A1/3.1.1.83;	2/3.1.1A1;	0.0826558	1	0.625	0.333333	0.192308	0.111111	0.047619	0.0169492	0
R07513/3.1.1A1/3.1.1.80;	2/3.1.1A1;	0.0821382	1	0.714286	0.3125	0.134328	0.113636	0.0819672	0.0563725	0.0432
R10980/3.1.1A1/;	2/3.1.1A1;	0.0795632	1	0.714286	0.478261	0.236842	0.0909091	0.027027	0	0
R05880/3.1.1A1/3.1.1.80;	2/3.1.1A1;	0.0770252	1	0.714286	0.3125	0.134328	0.0984848	0.0705394	0.0497512	0.0412541
R06728/3.1.1A1/3.1.1.1,3.1.1.84;	2/3.1.1A1;	0.0767736	1	0.555556	0.297297	0.15493	0.0901639	0.0578947	0.036	0.0121581
R06728/3.1.1A1/3.1.1.1,3.1.1.84;	2/3.1.1A1;	0.0767736	1	0.555556	0.297297	0.15493	0.0901639	0.0578947	0.036	0.0121581
R07513/3.1.1A1/3.1.1.80;	2/3.1.1A1;	0.0758263	1	0.714286	0.3125	0.134328	0.0970149	0.0688259	0.0486618	0.0415335
R10689/3.1.1A1/;	2/3.1.1A1;	0.0754458	1	0.555556	0.314286	0.152542	0.0823529	0.0314961	0.0119048	0
R01144/3.1.1A1/3.1.1.44;	2/3.1.1A1;	0.0734375	1	0.833333	0.52381	0.2	0.0735294	0.00892857	0	0
R08600/3.1.1A1/3.1.1.53;	2/3.1.1A1;	0.0732759	1	0.714286	0.407407	0.169811	0.0990099	0.0529412	0.021097	0.00636943
R11542/3.1.2A1/3.1.2.32;	2/3.1.1A1;	0.0730659	0.428571	0.333333	0.2	0.0930233	0.0833333	0.0762712	0.0591716	0.0247934
R10701/3.1.1A1/;	2/3.1.1A1;	0.07287	1	0.625	0.3125	0.133333	0.0909091	0.0691824	0.0225225	0
R10701/3.1.1A1/;	2/3.1.1A1;	0.07287	1	0.625	0.3125	0.133333	0.0909091	0.0691824	0.0225225	0
R10604/3.1.1A1/;	2/3.1.1A1;	0.0725594	1	0.555556	0.297297	0.142857	0.0777778	0.0300752	0.0114943	0
R01519/3.1.1A1/3.1.1.17;	2/3.1.1A1;	0.0725594	1	0.555556	0.297297	0.142857	0.0777778	0.0300752	0.0114943	0
R02659(r)/3.1.1A1/;	2/3.1.1A1;	0.0725594	1	0.555556	0.297297	0.142857	0.0777778	0.0300752	0.0114943	0
R02427/3.1.1A1/;	2/3.1.1A1;	0.0725462	1	0.625	0.354839	0.166667	0.075	0.0245902	0	0
R00048/3.1.1A1/3.1.1.22;	2/3.1.1A1;	0.0711111	1	0.625	0.37931	0.2	0.0649351	0.00909091	0	0
R08601/3.1.1A1/3.1.1.53;	2/3.1.1A1;	0.0707071	1	0.833333	0.391304	0.125	0.0434783	0.0347826	0.017341	0.0120482
R03692(r)/3.1.1A1(rev)/3.1.1.35;	2/3.1.1A1;	0.0703704	0.75	0.428571	0.210526	0.0793651	0.0625	0.0479452	0.0326087	0.0162602
R03772/3.1.1A1/3.1.1.65;	2/3.1.1A1;	0.0695771	1	0.555556	0.297297	0.129032	0.0561798	0.023622	0.0121212	0
R01462/3.1.1A1/3.1.1.13;	2/3.1.1A1;	0.0688073	0.833333	0.6	0.241379	0.155556	0.0804598	0.0526316	0.0420561	0.00943396
R07680/3.1.1A1/;	2/3.1.1A1;	0.0674603	1	0.555556	0.297297	0.125	0.0537634	0.0227273	0.0116959	0
R02933,R03034/3.1.1A1/3.1.1.17,3.1.1.25;	2/3.1.1A1;	0.0674603	1	0.555556	0.297297	0.125	0.0537634	0.0227273	0.0116959	0
R04785/3.1.1A1/3.1.1.17;	2/3.1.1A1;	0.0674603	1	0.555556	0.297297	0.125	0.0537634	0.0227273	0.0116959	0
R03034/3.1.1A1/3.1.1.25;	2/3.1.1A1;	0.0674603	1	0.555556	0.297297	0.125	0.0537634	0.0227273	0.0116959	0
R11242/3.1.1A1/3.1.1.99;	2/3.1.1A1;	0.0665054	1	0.555556	0.297297	0.130435	0.0686275	0.027027	0.0104167	0
R03708/3.1.1A1/3.1.1.25;	2/3.1.1A1;	0.0663507	1	0.714286	0.454545	0.184211	0.0447761	0	0	0
R02035/3.1.1A1/3.1.1.31;	2/3.1.1A1;	0.0661058	1	0.555556	0.297297	0.138462	0.07	0.0266667	0.0102564	0
R01924/3.1.1A1/3.1.1.28;	2/3.1.1A1;	0.0659971	0.833333	0.6	0.285714	0.191489	0.1	0.0166667	0	0
R04202/3.1.1A1/3.1.1.60;	2/3.1.1A1;	0.0646651	1	0.625	0.333333	0.177419	0.0784314	0.0188679	0.00492611	0
R02714/3.1.1A1/3.1.1.30;	2/3.1.1A1;	0.0644258	1	0.555556	0.277778	0.137931	0.0470588	0.0163934	0	0
R02526,R02714/3.1.1A1/3.1.1.15,3.1.1.30;	2/3.1.1A1;	0.0644258	1	0.555556	0.277778	0.137931	0.0470588	0.0163934	0	0
R02428,R02526,R02714/3.1.1A1/3.1.1.15,3.1.1.30,3.1.1.68;	2/3.1.1A1;	0.0644258	1	0.555556	0.277778	0.137931	0.0470588	0.0163934	0	0
R03641/3.1.1A1/3.1.1.37;	2/3.1.1A1;	0.0606601	1	0.555556	0.297297	0.15873	0.0810811	0.0360825	0.0206897	0.00757576
R01026/3.1.1A1/3.1.1.7,3.1.1.8;	2/3.1.1A1;	0.0594679	1	0.833333	0.363636	0.153846	0.0298507	0	0	0
R11542(r)/3.1.2A1(rev)/3.1.2.32;	2/3.1.1A1;	0.0594059	0.428571	0.333333	0.153846	0.0681818	0.0684932	0.0583333	0.0406977	0.0205761
R11542(r)/3.1.2A1(rev)/3.1.2.32;	2/3.1.1A1;	0.0594059	0.428571	0.333333	0.153846	0.0681818	0.0684932	0.0672269	0.0346821	0.0205761
R11542(r)/3.1.2A1(rev)/3.1.2.32;	2/3.1.1A1;	0.0594059	0.428571	0.333333	0.153846	0.0681818	0.0684932	0.0583333	0.0406977	0.0205761
R00327/3.1.1A1/3.1.1.33;	2/3.1.1A1;	0.059322	1	0.833333	0.391304	0.119048	0.04	0.016129	0.00564972	0
R04202/3.1.1A1/3.1.1.60;	2/3.1.1A1;	0.0585534	1	0.625	0.333333	0.15873	0.047619	0.0125	0.00492611	0
