Instance ID of pair,UID of pair,rxnUID,if_known_check,max_bridgit
2,8ac1c19879bb2ae50607d50a833531187c2f7810336b18d076fa3786c63d3e49,32988230b606de321fe3a3306767e6e54c1f0114c4b6bdf24859ea3f6bbb9f0d,0,1
3,3f7efaad7cb81bcaf1d333b932139ba071629735f089157406cea36ac9c6654b,32988230b606de321fe3a3306767e6e54c1f0114c4b6bdf24859ea3f6bbb9f0d,0,1
4,37cf84f1c2a0f4828f74196264b083bd097bed1960d0d30eba0f95fc91b6012e,32988230b606de321fe3a3306767e6e54c1f0114c4b6bdf24859ea3f6bbb9f0d,0,1
6,c51ec52ce69dfb29369953e6d9d367ca4755aab8ec530e3b41c54c661101cd0a,f10cabd76f31e60489ddf2fc89a2d3a738d353920451401d55c92aba7a14ac85,0,1
7,401e460ebd2a7b62078456ffde36e5819ca8a576e9d8f4065f2475b26a2cf9e6,f10cabd76f31e60489ddf2fc89a2d3a738d353920451401d55c92aba7a14ac85,0,1
8,cca6d25cb4f9bbda93f2694848ba0fd0e0d58706b5e0aea4a5168e828070dcb1,f10cabd76f31e60489ddf2fc89a2d3a738d353920451401d55c92aba7a14ac85,0,1
9,c51ec52ce69dfb29369953e6d9d367ca4755aab8ec530e3b41c54c661101cd0a,28630a832b291c10684b27b8bd499b19bb60772ff697e96b01c5c12aba32de0c,0,1
10,6394243333677564b2c71cffe5289eef1e4957779c62f69d0554ead949a34909,28630a832b291c10684b27b8bd499b19bb60772ff697e96b01c5c12aba32de0c,0,1
12,a23b26e592d73127c26b10188500403ecbc5b786af6a123a6ddeacd81494156c,e4d93d375c99553b9dda7b4cf6d6740d9cb3121160c4b5bd30098f887211e265,0,1
13,732a9b67e4d5087fd020c6742439b22725acf59cf72fdb803fc8496f6872c00d,e4d93d375c99553b9dda7b4cf6d6740d9cb3121160c4b5bd30098f887211e265,0,1
14,5cac00277a254a39c4727499e4836173e4851afbfa64ee0c4f349e67a86e1a5e,e4d93d375c99553b9dda7b4cf6d6740d9cb3121160c4b5bd30098f887211e265,0,1
15,7b6614cf98a5d06cd29f90b4749a97461f2144abc2d95fbace0bb46a947589fe,06108c2acc798f5c2d71c238902315ba66f7fd334e8d050dbbd6b0ea3340edc6,0,1
16,401e460ebd2a7b62078456ffde36e5819ca8a576e9d8f4065f2475b26a2cf9e6,06108c2acc798f5c2d71c238902315ba66f7fd334e8d050dbbd6b0ea3340edc6,0,1
18,6ef8fc903848f263844406763d1c94b733b5187466bf86b969a6e5fcb4651c07,4386f0eb6091d8b2252ff8f1703be637b8b7e8f4727008c9aa52fb3ad55901ac,0,1
19,232afdd90e7711fc9096d5d006426ba36de4a675dba0f4e91b45eb20a016949b,4386f0eb6091d8b2252ff8f1703be637b8b7e8f4727008c9aa52fb3ad55901ac,0,1
20,545c18086c0850dbc43cb6698b27f66c54d27962eaa929f6513a0641581dc079,4386f0eb6091d8b2252ff8f1703be637b8b7e8f4727008c9aa52fb3ad55901ac,0,1
21,ac3f5121012ed521cf08334fdce6a52b88d1d85bd06eb640b435b2ea9b21fd4d,cbc53d007b31bef72f6adbd3be147086554beaa8d4404751f7350d77ae653e31,0,1
27,bcb58a2acfebfd786c142bcc2ae302fb22371c912bfe3e1612e25ac254836b66,4feaf4214480ac6ad9b282d6f4e37629b4d1d6b05d541a96000399e210dd93d6,0,1
