('1467867313', '1467871246')
('1467871989', '1467866095')
('1467871989', '1467867962')
('1467871989', '1467867313')
('1467871989', '1467865936')
('1468002189', '1467866633')
('1468318208', '1467884067')
('1467884067', '1468024573')
('1467884067', '1468303938')
('1467884067', '2369146')
('1467870119', '1467919810')
('1467868847', '1467868463')
('1467868847', '1467881851')
('1467869180', '147362152')
('1467866617', '1467873072')
('1467871989', '1467876895')
('1467867543', '1467865936')
('1468002189', '785601437')
('1467866633', '1467869667')
('1467870119', '1467919774')
('1467870119', '1467975209')
('1467868847', '1468308490')
('1467866492', '1467879603')
('1468098073', '1467900641')
('383281312', '187292779')
('1467879603', '1467907679')
('1467866691', '1468116051')
('1467866565', '1467869105')
('1467866565', '1467892581')
('1467866580', '1468048041')
('1467910944', '1467883142')
('1467871246', '1467879774')
('1467879774', '1467879004')
('1467865936', '1467872252')
('1467865936', '1467919099')
('1468002189', '1467908701')
('1467866633', '1467868515')
('1467870119', '1467976002')
('1467865783', '1468047130')
('1467879603', '1468375887')
('1467879603', '1467913386')
('1467867475', '1468034731')
('60530960', '95045261')
('1467869105', '1467866980')
('1467865767', '1468375887')
('1467869690', '1467865994')
('1467869340', '1467874918')
('1467866980', '1467892581')
('1469335184', '213775159')
('213775159', '1467878398')
('1467878398', '1467937154')
('1467866617', '1467892581')
('1467866617', '1467869105')
('1467866289', '1467896938')
('1467871989', '1467872545')
('1467866871', '1467869667')
('1467866871', '1469416065')
('1467866871', '1467868515')
('1467866214', '1467865767')
('1467865936', '1467900632')
('1467885235', '1467869105')
('1467866633', '1469416065')
('1467869667', '1467908701')
('1467884067', '1468367588')
('630681276', '1469416065')
('1467865687', '1469351167')
('1467873072', '1467910973')
('1467867475', '1468034720')
('1467867475', '1468208822')
('1467867475', '1467905525')
('1467868515', '2646411878')
('1467879966', '147569967')
('1467865994', '1467917204')
('1467866715', '1468220201')
('1469335184', '667034166')
('213775159', '1468045664')
('1467937154', '1468022095')
('1467868692', '1467879801')
('1467869144', '1467894435')
('2756730', '667034166')
('667034166', '1468022095')
('1468022095', '1468045856')
('1468022095', '1569599634')
('1468022095', '1468045657')
('1467872853', '1469294025')
('1467908977', '1467894077')
('128140466', '7537290')
('2908595', '1468045664')
('1468045664', '1468045856')
('1468045664', '1569599634')
('1467951620', '94804673')
('1467936701', '1468045657')
('1468079396', '1468118328')
('1467880967', '5443990')
('1467866617', '2639605')
('1467910944', '659952')
('1467872545', '1468050102')
('1467867437', '1467904354')
('1467867437', '1467896938')
('1467865936', '1467902466')
('1467866095', '1467904354')
('1467866095', '1467896938')
('1467886510', '123336382')
('1467885235', '1467892581')
('1467866633', '1467980652')
('1467869667', '1468353658')
('1467865967', '1467866960')
('1467865967', '59937801')
('1467896500', '1467865687')
('1467866374', '1468020360')
('1467866374', '1467890140')
('1467867073', '1467925842')
('1467907679', '1468023768')
('1467866276', '1569604472')
('1467879966', '1468168056')
('1467865994', '1467907251')
('1569599634', '1469334816')
('1468353658', '1467980652')
('1467955129', '381609970')
('1467899369', '1467932779')
('1467924024', '1468001902')
('1467866871', '1468002189')
('1468002189', '1469432051')
('1467869667', '1469338311')
('1467866492', '1468023758')
('1467868629', '1467932613')
('1467866276', '1467868189')
('1467865994', '1468260865')
('1467872515', '1467899369')
('1467896938', '1468165504')
('1467894077', '1467983144')
('1469416065', '1467980652')
('1469416065', '1156924936')
('1469416065', '638433351')
('1469336006', '1569585562')
('1569604472', '1569604268')
('1468691678', '160813960')
('1467932779', '1468165504')
('1468023768', '1468023777')
('12970', '1468029905')
('1467867255', '1569604268')
('1467874972', '1467882634')
('1467866580', '511202685')
('1468002189', '1469338311')
('1468002189', '786168053')
('1467884067', '1467885732')
('1467868847', '1467874982')
('1467865967', '1467923315')
('1467908642', '511202685')
('1467908642', '119519909')
('1467865783', '1469404985')
('1467896500', '1162521957')
('1468098073', '1468164446')
('1467881276', '1467874982')
('785601437', '1467980652')
('3021993', '1467980652')
('1469416065', '786168053')
('1467868189', '1467917156')
('1467868189', '1469335069')
('1467877482', '1569589874')
('1468023758', '1468023788')
('52416627', '621739655')
('1467866095', '1467884067')
('1467865531', '1469335633')
('1467884067', '1467906075')
('1467865967', '1467871394')
('1467881276', '1467898626')
('1468709606', '1468012942')
('1468164446', '1468300141')
('1468164446', '1468300157')
('1468164446', '1469417723')
('1468164446', '1468098690')
('1467865623', '1468039828')
('1468002189', '1468014214')
('1467865531', '1468018184')
('1467869667', '628083206')
('1467884067', '1468039807')
('1467884067', '1468232135')
('1467884067', '1467877253')
('167247', '45277688')
('1467868175', '1467865531')
('1467865531', '1468048803')
('1467884067', '1467913598')
('1467884067', '1467994741')
('1467884067', '1467994873')
('1467884067', '1467994505')
('1467884067', '1468363743')
('1467866345', '1468048803')
('1468029905', '1467896405')
('15544', '1975948')
('1467878427', '1467866276')
('1467878427', '1468040461')
('1467865531', '1467980923')
('1467870119', '1467980923')
('1467865783', '1468046806')
('1467865783', '1467980818')
