R_PR_UID	R_PR_STOICH
2594253365	1 1467879801 + 1 1467866715 <=> 1 1467865936 + 1 1467868822
1557818636	1 1467879801 + 1 1467873794 <=> 1 1467865936 + 1 1467868895
1560463082	1 1467932442 + 1 1467879801 <=> 1 1467865936 + 1 1467871718
1569664328	1 1467879801 + 1 1467873567 <=> 1 1467865936 + 1 1467866763
1569664344	1 1467892879 + 1 1467879801 <=> 1 1467865936 + 1 1467866763
1569818281	1 1467879801 + 1 1467866821 <=> 1 1467865936 + 1 1467865994 + 1 1469442031
1569826875	1 1467890370 + 1 1467879801 <=> 1 1467865936 + 1 1467865967 + 1 1469442031
1569844816	1 1468111245 + 1 1467879801 <=> 1 1467865936 + 1 1467868895
1569916317	1 1467879801 + 1 1467868016 + 1 1467865531 <=> 1 1467865623 + 1 1467865936 + 1 1469442031 + 1 1467866763
1738204963	1 1467865936 <=> 1 1467871361 + 1 1467879801
2070045538	1 1467879801 + 1 1467865910 <=> 1 1467865718 + 1 1467865936 + 1 1469442031
2592789975	1 1467879801 + 1 1467866821 <=> 1 1467865936 + 1 1467865994
2592817203	1 1467886210 + 1 1467879801 <=> 1 1467865936 + 1 1467883757
2593028873	1 1467937154 + 1 1467879801 <=> 1 1467865936 + 1 1469442031 + 1 5427330
2600523587	1 1467978257 + 1 1467879801 <=> 1 1467865936 + 1 1467879874
2774456200	1 1467868016 + 1 1467865936 <=> 1 1467879801 + 1 1468111245
2774520324	1 1569586535 + 1 1469442031 + 1 1467865936 <=> 1 1467879801 + 1 2908595
2786263290	1 1467879801 + 1 1467868895 <=> 1 1467865936 + 1 1467881726
2786301132	1 1467879801 + 1 1467868016 <=> 1 1467865936 + 1 1467881726
2786302264	1 1467879801 + 1 1467866715 <=> 1 1467865936 + 1 1467880624
1569900252	1 1468220201 + 1 1467866715 <=> 1 1467868822 + 1 1467884861
1569850518	1 1467868822 + 1 1467865910 <=> 1 1467865718 + 1 1467866715
1569850534	1 1467871604 + 1 1467868822 <=> 1 1467865623 + 1 1467866715
1569893913	1 1467871604 + 1 1467868822 <=> 1 1467865623 + 1 1469442031 + 1 1467866715
1569893947	1 1467868822 + 1 1467865910 <=> 1 1467865718 + 1 1469442031 + 1 1467866715
2786323699	1 1467868822 + 1 1467866821 <=> 1 1467865994 + 1 1467866715
1569762054	1 1467866289 + 1 1467865531 <=> 1 1467865667 + 1 1467867300 + 1 1467879801
1569888799	1 1469442031 + 1 1467866289 + 1 1467865531 <=> 1 1467865667 + 1 1467867300 + 1 1467879801
1569746813	1 1468043994 + 1 1467879874 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467879801 + 1 1468006422
1569933640	1 1467879801 + 1 1467866871 + 1 1467865783 + 1 1467865687 + 1 1467865592 <=> 1 1467865531 + 1 1467865578 + 1 1467865652 + 1 1469442031 + 1 1467876868
1569951953	1 1467867595 + 1 1467867163 + 1 1467865531 <=> 1 1467865623 + 1 1467871113 + 1 1467879801
1570012225	1 1467896357 + 1 1467879801 <=> 1 1467865531 + 1 1467865636 + 1 1469442031
1570014848	1 1467876868 + 1 1467865652 + 1 1467865578 + 1 1467865531 <=> 1 1467865592 + 1 1467865687 + 1 1467865783 + 1 1467866871 + 1 1467879801
1570015830	1 1468043994 + 1 1467879874 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1469442031 + 1 1467879801 + 1 1468006422
1570016682	1 1467970452 + 1 1467866836 + 1 1467866617 + 1 1467865531 <=> 1 1467865667 + 1 1467865687 + 1 1467865783 + 1 1467866080 + 2 1469442031 + 1 1467879801 + 1 1467902246 + 1 1468019272
2786238383	1 1467970452 + 1 1467866836 + 1 1467866617 + 1 1467865531 <=> 1 1467865667 + 1 1467865687 + 1 1467865783 + 1 1467866080 + 1 1467879801 + 1 1467902246 + 1 1468019272
1569762037	1 1467866289 + 1 1467866127 <=> 1 1467865667 + 1 1467869250 + 1 1467879801
1569888844	1 1469442031 + 1 1467866289 + 1 1467866127 <=> 1 1467865667 + 1 1467869250 + 1 1467879801
1569953302	1 1467879801 + 1 1467879210 + 1 1467865636 <=> 1 1467865623 + 1 1467866127 + 3 1469442031
1570032992	1 1467879801 + 1 1467879221 <=> 1 1467866127 + 1 1469442031 + 1 1467867475
2592797579	1 1467879801 + 1 1467879221 <=> 1 1467866127 + 1 1467867475
2786249859	1 1467866127 + 1 1467865623 <=> 1 1467865636 + 1 1467879210 + 1 1467879801
1569762088	1 1467866360 + 1 1467866289 <=> 1 1467865667 + 1 1467871133 + 1 1467879801
1569888828	1 1469442031 + 1 1467866360 + 1 1467866289 <=> 1 1467865667 + 1 1467871133 + 1 1467879801
1569910574	1 1467866360 <=> 1 1467871133 + 1 1467879801
1569944514	1 1467879801 + 1 1467873917 + 1 1467871133 <=> 1 1467866360 + 1 1467886607
1570000488	1 1467879801 + 1 1467866522 + 1 1467866374 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467865856 + 1 1467866360 + 2 1469442031
2592792085	1 1467879801 + 1 1467866522 + 1 1467866374 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467865856 + 1 1467866360
2774454531	1 1467985040 + 1 1467879801 + 1 1467866522 + 1 1467866374 <=> 1 1467865623 + 1 1467865856 + 1 1467866360 + 2 1469442031 + 1 1468163322
1569876307	1 1467879801 + 1 1467873724 <=> 1 1467867043
1569923349	1 1467879801 + 1 1467866360 <=> 1 1467865636 + 1 1469442031 + 1 1467867043
2774401602	1 1467867043 + 2 1469442031 <=> 1 1467873724 + 1 1467879801
2808991395	1 1468014334 + 1 1467867043 <=> 1 1467865610 + 2 1469442031 + 1 1467873724
1556117166	1 1467872180 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467865812 + 1 1467879801
1556463735	1 1467867342 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 2748681
1556527048	1 1467880463 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1467868585
1556539544	1 1467893267 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467871215
1557605188	1 1468314230 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1469415446
1557838265	1 1467868585 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468012885
1557839580	1 1467879801 + 1 1467868585 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1468012885
1557840556	1 1467868585 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 379985808
1557840616	1 1467868585 + 1 1469442031 + 1 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467866289 + 1 1467879801 + 1 1467891611
1558369715	1 1467975365 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467919694
1559509860	1 1467868585 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469253737
1559527671	1 1469442031 + 1 1467866080 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469396599
1559557362	1 219247 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467876458
1560274315	1 1467879801 + 1 1467866414 + 1 1467865592 <=> 1 1467865578 + 1 1467866289 + 1 1469442031
1560284220	1 1468091814 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467891784
1560716656	1 1928145 + 1 1469442031 + 1 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467865812 + 1 1467879801 + 1 1467879874
1561503395	1 1469425725 + 1 1467865592 <=> 1 1467865578 + 1 1467865812 + 1 1469442031
1569658549	1 1467865936 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467877115
1569671407	1 1467872290 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868131
1569671439	1 1467868131 + 1 1467865783 + 1 1467865687 + 1 1467865592 <=> 1 1467865531 + 1 1467865578 + 1 1469442031 + 1 1467867945
1569691659	1 1467880753 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467920725
1569712291	1 1467876801 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868938
1569715196	1 1467975199 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467975209
1569715386	1 1467975990 + 2 1469442031 + 2 1467865610 + 2 1467865578 <=> 2 1467865592 + 3 1467879801 + 1 1467976002
1569716379	1 1467876496 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467870413 + 1 1467879801
1569716452	1 1467919099 + 2 1467865592 <=> 2 1467865578 + 1 1469442031 + 1 1467913119
1569736296	1 1467867945 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467874758 + 1 1467879801
1569749979	1 1467870413 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467955129
1569754567	1 1467868313 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468019889
1569802746	1 1467920622 + 1 1467865592 <=> 1 1467865578 + 1 1467886864
1569807447	1 1467879801 + 1 1467867962 + 1 1467865592 <=> 1 1467865578 + 2 1469442031 + 1 1467871653
1569816244	1 1467866617 + 1 1467865767 + 1 1467865578 <=> 1 1467865592 + 1 1467866492 + 1 1469442031 + 1 1467880753 + 1 1467907679 + 1 1468004899
1569816349	7 1467866633 + 14 1469442031 + 1 1467865841 + 14 1467865578 <=> 14 1467865592 + 8 1467865652 + 7 1467865667 + 1 1467868847 + 6 1467879801
