Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
2,0.013593912124633789,6,1.7469580173492432,2,2
10,15.854217052459717,22,4.635372161865234,3,3
18,22.041148900985718,40,8.135956048965454,11,10
65,61.708526849746704,106,21.20733904838562,17,16
118,355.7490577697754,186,37.07585287094116,20,19
154,408.12598395347595,284,55.1253662109375,55,53
400,572.5319931507111,662,127.87469673156738,92,76
569,774.2840690612793,787,152.1417510509491,152,119
898,560.6226000785828,983,189.65935683250427,202,150
1097,537.5031788349152,1021,197.32138895988464,193,129
966,641.3162660598755,879,169.72464990615845,140,70
537,419.5541968345642,472,91.57635617256165,121,48
343,490.5076971054077,293,58.9723687171936,117,34
266,210.14801907539368,241,46.43971800804138,100,14
119,80.58466577529907,82,15.760761737823486,93,6
45,5799.042687177658,45,9.943517923355103,104,13
87,246.06181979179382,72,13.874919891357422,98,7
52,95.13744306564331,46,8.890254020690918,99,7
41,379.3292648792267,40,7.6868202686309814,97,5
41,68.2422091960907,30,5.9060139656066895,95,3
16,20.50155806541443,14,2.743964910507202,93,1
9,10.447885990142822,4,0.7819280624389648,92,0
92,5
