,LCSBID
s_0001_ce,1467865936
s_0001_c,1467865936
s_0001_e,1467865936
s_0004_ce,1467886687
s_0006_m,1467905739
s_0007_c,1467971113
s_0008_m,1467900662
s_0009_c,1467902766
s_0010_c,1467901603
s_0010_m,1467901603
s_0012_m,1467904131
s_0013_c,1468185729
s_0013_n,1468185729
s_0015_c,1467895842
s_0016_m,1467900157
s_0017_c,1467896394
s_0018_c,1467878092
s_0019_c,1467877736
s_0020_c,1467871215
s_0021_c,1467871455
s_0021_e,1467871455
s_0021_m,1467871455
s_0021_p,1467871455
s_0025_c,1467868029
s_0025_e,1467868029
s_0025_m,1467868029
s_0028_c,1467870760
s_0028_e,1467870760
s_0030_c,1467871904
s_0031_c,1467875442
s_0031_e,1467875442
s_0033_c,1467896139
s_0033_m,1467896139
s_0035_c,1467893267
s_0035_e,1467893267
s_0037_c,1467877253
s_0037_er,1467877253
s_0039_m,1467873274
s_0042_p,1467908038
s_0045_p,1468095493
s_0048_p,1467908016
s_0051_p,1467907975
s_0054_p,1467907997
s_0056_c,1467873396
s_0056_e,1467873396
s_0056_m,1467873396
s_0061_c,1467869829
s_0062_c,1467870817
s_0063_c,1467868029
s_0063_e,1467868029
s_0063_m,1467868029
s_0066_c,1467867543
s_0066_e,1467867543
s_0066_m,1467867543
s_0066_p,1467867543
s_0075_c,1467868676
s_0076_c,1467879628
s_0077_c,1467906383
s_0078_c,10797
s_0079_c,1467878908
s_0079_e,1467878908
s_0084_e,1467901553
s_0086_c,1467896500
s_0087_c,1467892254
s_0089_c,1467878612
s_0116_c,1467901893
s_0116_m,1467901893
s_0118_c,1467899307
s_0118_m,1467899307
s_0120_c,1467868643
s_0120_m,1467868643
s_0122_c,1467907027
s_0123_n,1467879341
s_0124_n,1467903545
s_0125_n,1467879075
s_0126_c,1467878427
s_0126_er,1467878427
s_0129_m,1467878427
s_0131_c,1467888240
s_0132_c,1467872331
s_0132_e,1467872331
s_0134_c,1467869751
s_0134_e,1467869751
s_0136_c,1467910150
s_0136_e,1467910150
s_0138_c,1467871955
s_0138_e,1467871955
s_0140_c,1467878239
s_0141_c,1467879639
s_0142_c,1468032525
s_0143_c,1467902985
s_0144_c,1467904913
s_0145_m,1467879139
s_0146_m,1467875820
s_0147_c,1467902754
s_0148_m,1467879603
s_0149_c,1467876437
s_0149_m,1467876437
s_0152_c,1467883705
s_0153_c,1467873423
s_0154_m,1467912410
s_0155_m,1467912390
s_0156_m,1467912400
s_0157_m,1467912379
s_0158_c,1468002470
s_0161_er,1468174284
s_0162_c,1467889321
s_0162_e,1467889321
s_0162_m,1467889321
s_0165_c,1467890172
s_0166_c,1467887209
s_0166_e,1467887209
s_0166_m,1467887209
s_0169_c,1468169337
s_0169_e,1468169337
s_0169_m,1468169337
s_0172_c,1468174061
s_0172_e,1468174061
s_0174_m,1467887229
s_0176_c,1467869652
s_0176_m,1467869652
s_0178_c,1467866997
s_0178_m,1467866997
s_0180_c,1467865872
s_0180_e,1467865872
s_0180_m,1467865872
s_0180_n,1467865872
s_0180_p,1467865872
s_0185_c,1467912893
s_0185_e,1467912893
s_0185_m,1467912893
s_0188_c,1467872997
s_0189_c,1467870003
s_0190_c,1467871046
s_0190_m,1467871046
s_0192_c,1467872465
s_0193_c,1467876192
s_0194_c,1467876449
s_0195_c,1467876203
s_0196_c,1467876217
s_0197_c,1467875621
s_0197_m,1467875621
s_0201_c,1467866249
s_0204_c,1467878443
s_0204_p,1467878443
s_0207_c,1467879286
s_0208_c,1467911289
s_0209_c,1468004953
s_0210_c,1467876226
s_0211_c,1467890251
s_0212_c,1467907694
s_0212_m,1467907694
s_0214_m,1467908486
s_0215_c,1467983411
s_0215_m,1467983411
s_0217_c,1468185429
s_0218_c,1467870052
s_0218_m,1467870052
s_0222_c,1467891430
s_0224_c,1467873011
s_0229_p,1468008271
s_0231_er,1467892402
s_0232_c,1467867437
s_0232_m,1467867437
s_0234_c,1467925690
s_0234_e,1467925690
s_0234_m,1467925690
s_0239_p,1467908051
s_0243_p,1468095501
s_0247_p,1467908027
s_0250_p,1468008259
s_0253_p,1467907985
s_0257_p,1467908007
s_0258_c,1467894744
s_0259_c,1467876785
s_0260_c,1467868189
s_0261_c,1467894258
s_0262_c,1467970572
s_0263_c,1469307031
s_0264_c,1467914556
s_0267_c,1467905391
s_0268_c,1467903836
s_0269_c,1467969548
s_0270_c,1467879408
s_0271_c,1467872398
s_0271_e,1467872398
s_0271_m,1467872398
s_0274_c,1467872278
s_0274_m,1467872278
s_0279_c,1467967773
s_0280_c,1467893552
s_0281_c,1467877077
s_0282_c,1467877964
s_0282_m,1467877964
s_0282_p,1467877964
s_0285_c,1467914569
s_0286_c,1467867640
s_0286_m,1467867640
s_0290_m,1467892552
s_0291_c,1467868629
s_0291_m,1467868629
s_0293_c,1467902246
s_0294_c,1467878458
s_0295_c,1467893595
s_0296_c,1467906991
s_0297_c,1468004887
s_0298_c,1467868530
s_0299_c,1467905854
s_0300_c,1467895667
s_0301_c,1467902561
s_0302_c,1467904471
s_0303_c,1467867842
s_0304_c,1467871009
s_0304_m,1467871009
s_0306_c,1467867460
s_0306_m,1467867460
s_0308_c,1467945595
s_0309_c,1469307031
s_0310_c,1467902005
s_0311_c,1468003327
s_0312_c,1467906537
s_0313_c,1467903089
s_0314_c,1467905207
s_0315_c,1467870875
s_0315_e,1467870875
s_0315_m,1467870875
s_0318_c,1467967773
s_0319_c,1467896342
s_0319_e,1467896342
s_0319_m,1467896342
s_0322_c,1467870978
s_0323_c,1467903343
s_0324_c,1467879310
s_0325_c,1467898800
s_0326_c,1467891024
s_0327_c,1467893667
s_0328_c,1467902278
s_0329_er,1467901667
s_0330_er,
s_0331_er,1467879489
s_0332_er,
s_0333_c,1467967773
s_0334_er,
s_0335_c,1467879032
s_0337_er,
s_0338_er,
s_0339_er,
s_0340_c,1467869909
s_0341_c,1467877103
s_0341_e,1467877103
s_0343_c,1467906224
s_0343_m,1467906224
s_0345_c,1467913356
s_0346_c,1467906370
s_0347_c,1467876008
s_0347_m,1467876008
s_0349_c,1467904896
s_0349_m,1467904896
s_0352_c,1467877590
s_0352_e,1467877590
s_0357_c,1467870360
s_0357_e,1467870360
s_0359_c,1467866648
s_0359_e,1467866648
s_0359_m,1467866648
s_0362_c,1467865967
s_0362_er,1467865967
s_0362_e,1467865967
s_0362_m,1467865967
s_0362_n,1467865967
s_0367_c,1467869780
s_0367_m,1467869780
s_0372_m,1467899483
s_0373_c,1467865841
s_0373_m,1467865841
s_0373_n,1467865841
s_0373_p,1467865841
s_0383_c,1467867515
s_0383_e,1467867515
s_0383_m,1467867515
s_0386_c,1467868376
s_0386_e,1467868376
s_0389_c,1467876241
s_0390_c,1467866262
s_0390_e,1467866262
s_0390_m,1467866262
s_0393_c,1467898532
s_0394_c,1467865623
s_0394_er,1467865623
s_0394_m,1467865623
s_0394_n,1467865623
s_0394_p,1467865623
s_0402_n,1467869403
s_0403_c,1467904765
s_0404_c,1467875671
s_0405_c,1467871616
s_0405_e,1467871616
s_0407_c,1467881440
s_0407_e,1467881440
s_0409_c,1467873567
s_0410_c,1467866916
s_0411_c,1467898462
s_0412_c,1467869989
s_0412_e,1467869989
s_0414_g,1467912949
s_0415_c,1467872897
s_0415_m,1467872897
s_0417_c,1467920780
s_0418_c,1467884457
s_0419_c,1467879874
s_0419_e,1467879874
s_0419_m,1467879874
s_0423_c,1467865783
s_0423_m,1467865783
s_0423_n,1467865783
s_0423_p,1467865783
s_0427_c,1467866980
s_0428_c,1467886722
s_0428_m,1467886722
s_0430_c,1467895815
s_0430_m,1467895815
s_0432_c,1467892777
s_0432_m,1467892777
s_0434_c,1467865531
s_0434_er,1467865531
s_0434_m,1467865531
s_0434_n,1467865531
s_0434_p,1467865531
s_0441_c,1467866856
s_0442_c,1467873324
s_0443_c,1467904264
s_0443_g,1467904264
s_0445_c,1467879966
s_0445_e,1467879966
s_0445_m,1467879966
s_0445_n,1467879966
s_0450_c,
s_0451_c,1467867147
s_0451_e,1467867147
s_0453_c,1467913312
s_0454_m,1467899934
s_0455_c,1467867829
s_0456_c,1467865667
s_0456_er,1467865667
s_0456_e,1467865667
s_0456_m,1467865667
s_0456_n,1467865667
s_0456_p,1467865667
s_0465_m,1467878739
s_0467_c,1467867043
s_0467_n,1467867043
s_0469_c,1467869473
s_0474_c,1467872423
s_0475_er,1468185437
s_0475_g,1468185437
s_0475_m,1468185437
s_0478_er,1468185445
s_0478_g,1468185445
s_0478_m,1468185445
s_0481_er,1468095509
s_0481_g,1468095509
s_0481_m,1468095509
s_0484_er,1468095517
s_0484_g,1468095517
s_0484_m,1468095517
s_0487_er,1468095341
s_0487_g,1468095341
s_0487_m,1468095341
s_0490_er,1468182275
s_0490_g,1468182275
s_0490_m,1468182275
s_0493_er,1468182283
s_0493_g,1468182283
s_0493_m,1468182283
s_0496_er,1468182291
s_0496_g,1468182291
s_0496_m,1468182291
s_0499_er,1468210751
s_0499_g,1468210751
s_0499_m,1468210751
s_0502_er,1468211535
s_0502_g,1468211535
s_0502_m,1468211535
s_0507_er,1468132043
s_0509_c,
s_0510_ce,1467873982
s_0511_ce,1467867073
s_0511_c,1467867073
s_0511_e,1467867073
s_0514_c,1467872625
s_0515_c,1467868880
s_0516_c,1467870747
s_0516_m,1467870747
s_0522_c,1467867671
s_0522_e,1467867671
s_0522_m,1467867671
s_0522_p,1467867671
s_0526_c,1467866276
s_0526_m,1467866276
s_0529_c,1467865652
s_0529_er,1467865652
s_0529_lp,1467865652
s_0529_m,1467865652
s_0529_n,1467865652
s_0529_p,1467865652
s_0538_c,1467894939
s_0539_c,1467866360
s_0539_m,1467866360
s_0542_c,1467893904
s_0543_c,1467871323
s_0543_e,1467871323
s_0545_c,1467870314
s_0545_e,1467870314
s_0547_c,1467873229
s_0548_c,1467867962
s_0548_e,1467867962
s_0550_c,1467904668
s_0551_c,1467869180
s_0551_m,1467869180
s_0553_c,1467866805
s_0553_e,1467866805
s_0555_c,1467870021
s_0556_c,1467877616
s_0557_c,1467866662
s_0558_c,1467865936
s_0558_e,1467865936
s_0560_e,1467868103
s_0561_c,1467870443
s_0561_e,1467870443
s_0563_c,1467865936
s_0563_e,1467865936
s_0563_v,1467865936
s_0567_c,1467866916
s_0568_c,1467866763
s_0570_c,1467872492
s_0571_c,1467865936
s_0571_e,1467865936
s_0573_c,1467866916
s_0574_c,1467866763
s_0575_c,1467867163
s_0575_e,1467867163
s_0577_c,1467868222
s_0578_c,1467867962
s_0578_e,1467867962
s_0580_c,1467869501
s_0581_c,1467868222
s_0582_c,1467868301
s_0582_n,1467868301
s_0584_c,1467870079
s_0584_m,1467870079
s_0586_c,1467867300
s_0587_c,1467873724
s_0587_n,1467873724
s_0589_c,1467868718
s_0590_c,1467871133
s_0591_c,1467875359
s_0591_n,1467875359
s_0595_c,1467881636
s_0595_e,1467881636
s_0595_p,1467881636
s_0605_p,1467908162
s_0606_lp,1467903462
s_0607_c,1467916578
s_0608_c,1467886730
s_0608_n,1467886730
s_0610_c,1467875609
s_0610_e,1467875609
s_0612_c,1467884631
s_0613_c,1467870093
s_0613_n,1467870093
s_0615_c,1467870104
s_0615_m,1467870104
s_0617_c,1467869250
s_0618_c,1467879896
s_0620_er,1467867772
s_0625_c,1467870719
s_0625_m,1467870719
s_0627_m,1467872504
s_0628_m,1467892696
s_0629_c,1467867028
s_0629_lp,1467867028
s_0629_m,1467867028
s_0633_c,1467865687
s_0633_lp,1467865687
s_0633_m,1467865687
s_0633_n,1467865687
s_0633_p,1467865687
