,LCSBID
10fthf_c,1467868643
12dgr120_c,
12dgr120_p,
12dgr140_c,
12dgr140_p,
12dgr141_c,
12dgr141_p,
12dgr160_c,
12dgr160_p,
12dgr161_c,
12dgr161_p,
12dgr180_c,
12dgr180_p,
12dgr181_c,
12dgr181_p,
12ppd__R_c,1467872558
12ppd__R_e,1467872558
12ppd__R_p,1467872558
12ppd__S_c,1467872558
12ppd__S_e,1467872558
12ppd__S_p,1467872558
13dpg_c,1467868676
14dhncoa_c,1468002384
14glucan_c,1468002384
14glucan_e,1468002384
14glucan_p,1468002384
15dap_c,1467882438
15dap_e,1467882438
15dap_p,1467882438
1agpe120_p,
1agpe140_p,
1agpe141_p,
1agpe160_p,1469417723
1agpe161_p,
1agpe180_p,
1agpe181_p,
1agpg120_p,1469340620
1agpg140_p,1468278758
1agpg141_p,
1agpg160_p,1468098507
1agpg161_p,
1agpg180_p,1468278765
1agpg181_p,
1ddecg3p_c,1468225787
1ddecg3p_p,1468225787
1hdec9eg3p_c,
1hdec9eg3p_p,
1hdecg3p_c,
1hdecg3p_p,
1odec11eg3p_c,
1odec11eg3p_p,
1odecg3p_c,1468290577
1odecg3p_p,1468290577
1pyr5c_c,1467899307
1tdec7eg3p_c,
1tdec7eg3p_p,
1tdecg3p_c,1468225732
1tdecg3p_p,1468225732
23camp_e,1467888240
23camp_p,1467888240
23ccmp_e,1467888250
23ccmp_p,1467888250
23cgmp_e,1467915818
23cgmp_p,1467915818
23cump_e,1467888259
23cump_p,1467888259
23dappa_c,1467895798
23dappa_e,1467895798
23dappa_p,1467895798
23ddhb_c,1467901155
23dhacoa_c,1467987972
23dhb_c,1467868175
23dhba_c,1467900096
23dhbzs_c,1467901338
23dhdp_c,1467895413
23dhmb_c,1467900157
23dhmp_c,1467900662
23doguln_c,1467903963
25aics_c,1467905854
25dkglcn_c,1467891315
25drapp_c,1467879639
26dap_LL_c,1467873336
26dap__M_c,1467873336
26dap__M_e,1467873336
26dap__M_p,1467873336
2agpe120_c,1469377265
2agpe120_p,1469377265
2agpe140_c,1469398247
2agpe140_p,1469398247
2agpe141_c,
2agpe141_p,
2agpe160_c,1469431471
2agpe160_p,1469431471
2agpe161_c,
2agpe161_p,
2agpe180_c,1469346128
2agpe180_p,1469346128
2agpe181_c,
2agpe181_p,
2agpg120_c,
2agpg120_p,
2agpg140_c,1469355392
2agpg140_p,1469355392
2agpg141_c,
2agpg141_p,
2agpg160_c,1469355552
2agpg160_p,1469355552
2agpg161_c,
2agpg161_p,
2agpg180_c,1469359735
2agpg180_p,1469359735
2agpg181_c,
2agpg181_p,
2ahbut_c,1467873274
2amsa_c,1467974152
2aobut_c,1467894577
2cpr5p_c,1467879628
2dda7p_c,1467904896
2ddecg3p_c,
2ddecg3p_p,
2ddg6p_c,1467879477
2ddglcn_c,1467868279
2ddglcn_e,1467868279
2ddglcn_p,1467868279
2dh3dgal6p_c,1467879477
2dh3dgal_c,1467868279
2dhguln_c,1467895440
2dhp_c,1467876437
2dmmq8_c,1468167761
2dmmql8_c,1468219387
2dr1p_c,1467873411
2dr5p_c,1467873423
2fe1s_c,
2fe2s_c,
2h3oppan_c,1467878117
2hdec9eg3p_c,
2hdec9eg3p_p,
2hdecg3p_c,1469419673
2hdecg3p_p,1469419673
2ippm_c,1467890172
2mahmp_c,2594274992
2mcacn_c,1467901504
2mcit_c,1467887229
2me4p_c,1467970420
2mecdp_c,1467970558
2obut_c,1467866997
2odec11eg3p_c,
2odec11eg3p_p,
2odecg3p_c,1469343485
2odecg3p_p,1469343485
2ohph_c,1467912457
2ombzl_c,1468212846
2omhmbl_c,1468218282
2ommbl_c,1468212854
2omph_c,1467912468
2oph_c,1467912445
2oxpaccoa_c,1468041843
2p4c2me_c,1467970442
2pg_c,1467872997
2pglyc_c,1467876629
2sephchc_c,1468011156
2shchc_c,1467912508
2tdec7eg3p_c,
2tdec7eg3p_p,
2tdecg3p_c,
2tdecg3p_p,
2tpr3dpcoa_c,1468040238
34dhpac_e,1467900185
34dhpac_p,1467900185
34hpp_c,1467878443
35cgmp_c,1467876203
3amac_c,1468044034
3amp_e,1467880031
3amp_p,1467880031
