,LCSBID
r_0001,2070035073
r_0002,2070035073
r_0003,2592805925
r_0004,2070035073
r_0005,
r_0006,2786251254
r_0007,1569701579
r_0012,2592793244
r_0013,1569921523
r_0014,2774385881
r_0015,1569740901
r_0016,1569817235
r_0017,1569930608
r_0018,1569675823
r_0019,2592807018
r_0020,1569674747
r_0021,
r_0022,1569704931
r_0023,1569695104
r_0024,1569820126
r_0025,1569820126
r_0026,2592843064
r_0027,1569690296
r_0028,1569820256
r_0029,1569839635
r_0030,1569839635
r_0032,1569657386
r_0033,1569915034
r_0034,1569951592
r_0035,1569951579
r_0036,1569904803
r_0037,1569951566
r_0038,1569910781
r_0039,1569686840
r_0040,2592811906
r_0041,2592811029
r_0042,1569674747
r_0043,1569912012
r_0044,1569877661
r_0045,1569839697
r_0057,2594265227
r_0058,1569682983
r_0059,
r_0060,1569695479
r_0061,2592821674
r_0062,1569892701
r_0063,1569668527
r_0064,1569911852
r_0065,2592814750
r_0066,1569673753
r_0067,1569820917
r_0068,1569673027
r_0069,1569705577
r_0070,1569808955
r_0072,1569892714
r_0073,1570013157
r_0074,
r_0075,
r_0076,1569660561
r_0077,1569667404
r_0078,2592795401
r_0079,1570000540
r_0080,2592797477
r_0081,1569812756
r_0082,1570013157
r_0083,1570017370
r_0084,1569803918
r_0085,2592821565
r_0086,1569724226
r_0087,1569699333
r_0088,
r_0089,
r_0090,2774342831
r_0091,1569811526
r_0092,1570013157
r_0093,
r_0094,1569913517
r_0095,2592970804
r_0096,2592811709
r_0097,1569803102
r_0099,1569672768
r_0100,1569817199
r_0101,2070051307
r_0102,1569695363
r_0103,1569657972
r_0104,1569657972
r_0105,1569694143
r_0106,1569693478
r_0107,1569702654
r_0108,1569806350
r_0109,1569806350
r_0111,1569823892
r_0112,1570014907
r_0113,1570014907
r_0114,1570014907
r_0115,1569682820
r_0116,1569661044
r_0117,2774319750
r_0118,1569679035
r_0119,1569913569
r_0120,1558579516
r_0121,1569868729
r_0122,1570027756
r_0123,1569817334
r_0124,1569865164
r_0125,1569817306
r_0126,2735674743
r_0127,2592967021
r_0128,2735663414
r_0129,1558625094
r_0130,2735668561
r_0131,1557683165
r_0132,1557519135
r_0133,1557685567
r_0134,2735680808
r_0135,2735668283
r_0137,
r_0138,1569836947
r_0139,1569657424
r_0140,1569838537
r_0142,1569803424
r_0143,1569817530
r_0144,1569657455
r_0145,
r_0146,
r_0147,
r_0148,1570015854
r_0149,1570015854
r_0150,1570030695
r_0151,
r_0152,1569667008
r_0153,1569913902
r_0154,1569906191
r_0155,2774406211
r_0156,1569659296
r_0157,
r_0158,2683049632
r_0159,1570017945
r_0160,1570031248
r_0161,2683043198
r_0162,1570031223
r_0163,2592793753
r_0164,2592796052
r_0165,2592793753
r_0166,1569914391
r_0167,1569914391
r_0168,1569914407
r_0169,2592808234
r_0170,2592808234
r_0171,2592962911
r_0172,2592794906
r_0173,2592793325
r_0174,2592793303
r_0175,2592793325
r_0176,2592808705
r_0177,2593059395
r_0178,2593059395
r_0179,2592830932
r_0180,2592830932
r_0181,2592830949
r_0182,2603004841
r_0183,2603004841
r_0184,2603006800
r_0185,2592807568
r_0186,2592808724
r_0187,2592808724
r_0188,1569908102
r_0189,1569680457
r_0190,1569822954
r_0191,1569828409
r_0192,
r_0193,2592787236
r_0194,2592787236
r_0195,1569664314
r_0198,1569667232
r_0199,2849802493
r_0200,2677000731
r_0201,2592807698
r_0202,1570029203
r_0203,1569832204
r_0204,2592788118
r_0205,2592799073
r_0206,2592791887
r_0207,1569667037
r_0208,1569805114
r_0209,
r_0210,
r_0211,1569810073
r_0212,
r_0213,
r_0214,1569915706
r_0215,1569660227
r_0216,1569659166
r_0217,1569659166
r_0218,1569659166
r_0219,2592805569
r_0220,
r_0221,
r_0222,1569913737
r_0223,2774492928
r_0224,2786239664
r_0225,1570014044
r_0226,
r_0227,2593008382
r_0228,
r_0229,1569913846
r_0230,2592796269
r_0231,2592830459
r_0233,2592844101
r_0234,
r_0235,1569882355
r_0236,2592844009
r_0237,2594268511
r_0238,2594268482
r_0239,1569880979
r_0240,
r_0241,1569867498
r_0242,1569854044
r_0243,1569725256
r_0244,2592830499
r_0249,1570038450
r_0250,1569915429
r_0252,2808797740
r_0253,2808797740
r_0254,2808797740
r_0255,2849820619
r_0256,2849820619
r_0259,1569854557
r_0260,1569854470
r_0261,2602916306
r_0262,1569854280
r_0263,1569854245
r_0264,1569853833
r_0265,1569854263
r_0266,2774439126
r_0267,1569854492
r_0268,2602912602
r_0269,1569854537
r_0270,1569854511
r_0271,
r_0272,
r_0273,1569812423
r_0274,1569675342
r_0278,1569673743
r_0279,1569673731
r_0280,1569675421
r_0281,1570038070
r_0282,1570038055
r_0283,1570038129
r_0284,1570038085
r_0285,1570038114
r_0286,1570038159
r_0287,1570038100
r_0288,1570038144
r_0289,
r_0290,
r_0291,
r_0292,
r_0293,
r_0294,
r_0295,
r_0296,
r_0297,
r_0298,
r_0299,
r_0300,1569822391
r_0301,1569822391
r_0302,1569669772
r_0303,1569669772
r_0304,1569919499
r_0306,1570000488
r_0307,1569919640
r_0308,2849812080
r_0309,1569669299
r_0310,2592795737
r_0311,1569849321
r_0312,1569664891
r_0313,
r_0314,1569820572
r_0315,1569843892
r_0317,2592830476
r_0318,1570009814
r_0319,2774361197
r_0320,2592800122
r_0321,2592800140
r_0322,1569682004
r_0323,2592794635
r_0326,1569835177
r_0327,1569834641
r_0328,1570009849
r_0329,1570009965
r_0330,1570016531
r_0331,
r_0332,
r_0334,1569913984
r_0335,1569920615
r_0340,
r_0341,
r_0342,
r_0343,
r_0344,2592795238
r_0345,2592795238
r_0346,2070045033
r_0347,2592814993
r_0348,1569701430
r_0349,1569838245
r_0350,1569686722
r_0351,2592811792
r_0352,1569668308
r_0353,1569705439
r_0354,1569913957
r_0355,1570038025
r_0356,1569824695
r_0357,
r_0358,
r_0359,
r_0360,
r_0361,2592795808
r_0362,
r_0363,1570016547
r_0364,1569803251
r_0365,
r_0366,2592792759
r_0368,1569813304
r_0369,2774419901
r_0370,2592909803
r_0373,1570038070
r_0399,1570015423
r_0400,1570015489
r_0402,1570015151
r_0410,1570015534
r_0412,1570015552
r_0436,2592789782
r_0437,1569655722
r_0438,
r_0439,
r_0440,2592788469
r_0441,2592831215
r_0442,2592831241
r_0443,1569818718
r_0445,1569820398
r_0446,1569665491
r_0447,1569665491
r_0448,2592793818
r_0449,1569663512
r_0450,1569666824
r_0451,2592796369
r_0452,2592796369
r_0453,1569675066
r_0454,1569848055
r_0455,1569848055
r_0457,2070027162
r_0458,1569917807
r_0459,2592789618
r_0460,1570015889
r_0461,1570038055
r_0462,1570038041
r_0463,2592909803
r_0464,2592909803
r_0465,2849802482
r_0466,2592794398
r_0467,1569663635
r_0468,1569657984
r_0469,1569824893
r_0470,2592789169
r_0471,2592789211
r_0472,2592787802
r_0473,2592813623
r_0475,1569658130
r_0476,1569905978
r_0477,1569663595
r_0478,
r_0479,
r_0480,
r_0481,2592788047
r_0482,2592788047
r_0483,2592789441
r_0484,2592789441
r_0485,1569927208
r_0486,2592796170
r_0487,2592796035
r_0488,1570016861
r_0489,1569664360
r_0490,1569928610
r_0491,2592794434
r_0492,2592794434
r_0497,1569929683
r_0499,1569911086
r_0500,1569659310
r_0501,1569808488
r_0502,1569665523
r_0503,1569665523
r_0504,2774333236
r_0505,2592800972
r_0506,
r_0507,
r_0508,2592817278
r_0509,2594255383
r_0510,
r_0511,2593010165
r_0512,
r_0514,1569807481
r_0518,
r_0519,
r_0520,
r_0521,
r_0522,
r_0523,
r_0524,1569809181
r_0525,1569836998
r_0526,1569817262
r_0527,1569906219
r_0528,1570016483
r_0529,1570034613
r_0530,2786251561
r_0531,2592843210
r_0532,
r_0533,1569918499
r_0534,1569911395
r_0535,1569911395
r_0536,2592796901
r_0537,2070045117
r_0538,1569688268
r_0539,
r_0540,
r_0541,
r_0542,1569698869
r_0543,1569812792
r_0544,
r_0545,2849731603
r_0546,2592942880
r_0547,2592889030
r_0548,1569815623
r_0549,1569674317
r_0550,2070019971
r_0551,2070019971
r_0552,2070019971
r_0553,1569839902
r_0554,1569839902
r_0555,1570038436
r_0556,1569837971
r_0557,1569656289
r_0558,2592803774
r_0559,1569803068
r_0560,1569803068
r_0561,1569835669
r_0562,1569667482
r_0563,1569809844
r_0564,1569690430
r_0565,2592796678
r_0566,1570035116
r_0567,1569825641
r_0568,1569902657
r_0569,1569902657
r_0570,2592796660
r_0571,2774369083
r_0572,2774392991
r_0573,1569808371
r_0574,1569824501
r_0575,1569805411
r_0596,
r_0597,
r_0598,
r_0599,
r_0600,
r_0601,
r_0602,
r_0603,
r_0604,
r_0605,
r_0606,
r_0607,
r_0608,
r_0609,
r_0610,
r_0611,
r_0612,
r_0613,
r_0614,
r_0615,
r_0616,
r_0617,
r_0618,
r_0619,
r_0620,
r_0621,
r_0622,
r_0623,
r_0624,
r_0625,
r_0626,
r_0627,
r_0628,
r_0629,
r_0630,
r_0631,
r_0632,
r_0633,
r_0634,
r_0635,
r_0636,
r_0637,
r_0638,
r_0639,
r_0640,
r_0641,
r_0642,
r_0643,
r_0644,
r_0645,
r_0646,
r_0647,
r_0648,
r_0649,
