Compound,LCSBID
Protocatechuic_acid,1467868585
Gallic_acid,1467880463
"cis,cis-muconic_acid",1467889109
Catechol,1467866731
p-Aminobenzoate,1467872398
Gastrodin,1468015395
p-hydroxybenzoate,1467867640
4-tyrosol,1467914452
salidroside,1467914466
hydroxytyrosol,1468261150
salicylic_acid,1467874758
acetylsalicylic_acid,1467880291
dicoumarol,1467874641
L-phenylalanine,1467866580
2-phenylacetaldehyde,1467872719
2-phenylethylamine,1467908642
2-phenylethanol,1467912893
Mandelic_acid,1467910554
E-cinnamate,1467871544
benzylbenzoate,1467981074
benzyl_cinnamate,1468814955
benzyl_alcohol,1467872290
ethyl_cinnamate,1467917082
hydrocinnamyl_alcohol,1468714394
methylbenzoate,1468046876
methyl_cinnamate,1467917070
Styrene,1467923571
4-coumarate,1467874835
caffeic_acid,1467878631
4-vinylphenol,1467910931
chavicol,1468015097
estragol,1467959455
anethole,1467959180
4-hydroxyphenylbutan-2-one,1468259853
rosmarinic_acid,1467884103
ferulic_acid,1467880967
vanillin,1467874207
vanillic_acid,1467920194
6-gingerol,1467959583
eugenol,1467959469
isoeugenol,1467959670
methyleugenol,1467959482
podophyllotoxin,1467964602
L-tyrosine,1467866617
p-Cresol,1467880753
L-dopa,1467870034
dopamine,1467898292
norcoclaurine,1467915486
reticuline,1467886235
scoulerine,1467886249
berberine,1467874237
papaverine,1467918769
tubocurarine,1467927678
S-colchicine,1467928119
galanthamine,1467935716
novobiocin,1467906946
Pinocembrin,1467951620
chrysin,1467954101
phloretin,1467874409
resveratrol,1467896992
2S-naringenin,1467871750
apigenin,52615785
kaempferol,1468200688
myricetin,1467955129
quercetin,1467870413
rutin,1467910914
catechin,1467919099
epicatechin,1467919099
2S-eriodictyol,1467910959
homoeriodictyol,727994
2S-hesperetin,1467882771
luteolin,1467881156
Cynaroside,1467899558
Sakuranetin,1467951695
Dihydrokaempferol,1467876496
Prunetin,1467960318
baicalin,1467954063
L-tryptophan,1467866565
5-hydroxytryptophan,1467873155
melatonin,1467881882
quinidine,1467918693
quinine,1467918693
violacein,1468050500
etoposide,1467881698
teniposide,1467967572
droxidopa,1469343231
atenolol,1468104051
advantame,94668326
aspartame,1467966459
neotame,1468329052
diflunisal,1467882612
methyl_caprooyl_tyrosinate,374431087
tadalafil,novel53
