Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
150,70.16357684135437,119,34.71375107765198,62,57
1704,2551.7018988132477,926,272.4009771347046,210,183
5470,5176.25957775116,1904,554.1676909923553,301,251
7477,5793.217334032059,1275,350.26683592796326,205,143
4244,3657.6371099948883,570,189.4116027355194,160,94
2804,3710.808543920517,311,85.90116119384766,100,29
867,794.8717129230499,118,29.4911789894104,84,13
388,631.214766740799,37,8.085227966308594,74,3
60,338.27775168418884,5,1.098113775253296,72,0
72,3
