M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE
3485	Coumarin	ZYGHJZDHTFUPRJ	O=c1ccc2c(o1)cccc2	C9H6O2	0.0
3529	5-hydroxy-4-oxo-1,6-dihydropyrrolo[2,3-f]quinoline-2,7,9-tricarboxylic acid	YGMNKJYNUZEQNJ	OC(=O)c1cc(C(=O)O)c2c([nH]1)c(O)c(=O)c1c2[nH]c(c1)C(=O)O	C14H8N2O8	0.0
10368	2-[[4-carboxy-4-[2-[hydroxy-[2,3,4-trihydroxy-5-(2,4,8-trioxo-1H-pyrimido[4,5-b]quinolin-10-yl)pentoxy]phosphoryl]oxypropanoylamino]butanoyl]amino]pentanedioic acid	XXFFZHQKSZLLIT	O=C(NC(C(=O)O)CCC(=O)O)CCC(C(=O)O)NC(=O)C(OP(=O)(OCC(C(C(Cn1c2cc(=O)ccc2cc2c1[nH]c(=O)[nH]c2=O)O)O)O)O)C	C29H36N5O18P	0.0
52041	3-[18-(2-carboxyethyl)-3,7,12,17-tetramethyl-8,13-divinyl-22,23-dihydroporphyrin-2-yl]propanoic acid	ZCFFYALKHPIRKJ	C=Cc1c2C=C3N=C(C(=C3C)CCC(=O)O)C=C3N=C(C=c4[nH]c(=Cc(c1C)[nH]2)c(C=C)c4C)C(=C3CCC(=O)O)C	C34H34N4O4	0.0
74523	1-phenylethane-1,2-diol	PWMWNFMRSKOCEY	OCC(c1ccccc1)O	C8H10O2	0.0
77321	Cyclohexane-1-carboxylate	NZNMSOFKMUBTKW	OC(=O)C1CCCCC1	C7H12O2	0.0
190815	6-hydroxy-2-oxohexa-3,5-dienoic acid	MTOBWJUHQXQURZ	OC=CC=CC(=O)C(=O)O	C6H6O4	0.0
219247	3-hydroxyprop-2-enal	GMSHJLUJOABYOM	OC=CC=O	C3H4O2	0.0
292802	N-formylformamide	AIDQCFHFXWPAFG	O=CNC=O	C2H3NO2	0.0
687648	acetyl cyanide	QLDHWVVRQCGZLE	CC(=O)C#N	C3H3NO	0.0
690128	N-(2-hydroxyethyl)formamide	BAMUPQJDKBGDPU	OCCNC=O	C3H7NO2	0.0
1888927	formyl acetate	ORWKVZNEPHTCQE	O=COC(=O)C	C3H4O3	0.0
1928145	2-oxopropanamide	FPOLWERNILTNDK	NC(=O)C(=O)C	C3H5NO2	0.0
2211264	(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-3-(ethylthio)-1-oxopropan-2-yl]amino]-5-oxopentanoic acid	HMFDVPSBWOHOAP	CCSCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N	C12H21N3O6S	0.0
2361519	ethynol	QFXZANXYUCUTQH	OC#C	C2H2O	0.0
2369146	11-hydroxyoctadeca-9,12-dienoic acid	GIJZWHLTBMCTJV	CCCCCC=CC(C=CCCCCCCCC(=O)O)O	C18H32O3	0.0
2409233	2-(3,4-dihydroxyphenyl)chromenylium-3,5,7-triol	VEVZSMAEJFVWIL	Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O	C15H11O6+	1.0
2642238	(2S)-2-formamido-3-(1H-indol-3-yl)propanoic acid	RNEMLJPSSOJRHX	O=CNC(C(=O)O)Cc1c[nH]c2c1cccc2	C12H12N2O3	0.0
2702083	5-hydroxy-2-(4-hydroxyphenyl)chromen-7-one	FADMMGXLSPNVID	Oc1ccc(cc1)c1ccc2c(o1)cc(=O)cc2O	C15H10O4	0.0
