('1467926983', '1468213947')
('1468077283', '1468009711')
('1467866095', '1467871989')
('1467865936', '1467871989')
('1467892581', '1467866617')
('1467892581', '1467866980')
('1467865872', '1467867056')
('1467866095', '1467896938')
('1467865936', '1467867543')
('1467871989', '1467876895')
('1467871989', '1467872545')
('1467871989', '1467867962')
('1467892581', '1467866565')
('1467869105', '1467866980')
('1467869105', '1467866617')
('1467869105', '1467866565')
('1467865856', '1467865994')
('1467865783', '1467867829')
('1467867529', '1467873917')
('1467907679', '1467879603')
('1467867475', '1467905525')
('1467865994', '1467869690')
('1467871246', '1467867313')
('1467871246', '1467879774')
('1467872515', '1467899369')
('1467899369', '1467932779')
('1467909388', '1569580795')
('1569585562', '1469336006')
('1467866095', '1467904354')
('1467865936', '1467911752')
('1467865936', '1467880004')
('1467865936', '1467919099')
('1467865936', '3529')
('1467871989', '1468001902')
('1467871989', '1467867313')
('1467870596', '1467978174')
('1467892581', '1467885235')
('1467869105', '1467885235')
('1467867640', '1569586535')
('1467866960', '1467865967')
('1467867176', '1467905923')
('1467865967', '1467923315')
('1467865967', '1467871394')
('1467865967', '59937801')
('1467865967', '1467911480')
('1468002189', '1157281366')
('1467865783', '1468047130')
('1467865783', '1469404985')
('1467870801', '1467866904')
('1467907679', '1467902576')
('1467879603', '1468375887')
('1467879603', '1467913386')
('1467879603', '1467866492')
('1467872545', '1467876325')
('1467872545', '1467895264')
('1467867437', '1467904354')
('1467867437', '1467896938')
('1467867437', '1467905923')
('1467866374', '1467890140')
('1467866374', '1468020360')
('1467867945', '1467866904')
('1467867475', '1468208822')
('1467867475', '1468034720')
('1467867475', '1468034731')
('1467865994', '1467917204')
('1467865994', '1467907251')
('1467865667', '1467869780')
('1467866289', '1467896938')
('1467899369', '1467872373')
('1467932779', '1468165504')
('1467896938', '1468165504')
('1467909375', '1468218154')
('1467909375', '1467895264')
('1467909375', '1569580795')
('1469336006', '1467902265')
('1569580795', '1467894077')
('1467873917', '1467866276')
('1467867385', '1467880004')
('1467867385', '1467866276')
('1467867385', '3529')
('1467867962', '1467911752')
('1467870119', '1467976002')
('1467870119', '1467919810')
('1467870119', '1157831118')
('1467868847', '1467881851')
('1467868847', '1467868463')
('1467868847', '1468308114')
('1467917646', '1467866904')
('1467866904', '1468040763')
('1467866904', '1468021677')
('1467866904', '1468010592')
('1467911752', '1467935344')
('1467911752', '1467881010')
('1468040763', '1467935344')
('1467868629', '1467932613')
('1468375887', '1467865767')
('1467865767', '1467866214')
('1467869340', '1467874918')
('1467884067', '1467885732')
('1467884067', '1467906075')
('1467884067', '1468232135')
('1467884067', '1468318208')
('1467884067', '1468303938')
('1467895264', '1468001902')
('1467895264', '1467909362')
('1468218154', '1467909362')
('1469417723', '1468164446')
('1467866276', '1467878427')
('1467867103', '1467902457')
('1467902576', '1467913386')
('1467920194', '1467977461')
('1467877482', '1569589874')
('1468098073', '1468164446')
('1468098073', '1467900641')
('1468164446', '1467900641')
('1467871406', '1569586535')
('1467871406', '1467977461')
('1467894258', '1467893475')
('1469335184', '213775159')
('213775159', '1467878398')
('1467878398', '1467937154')
('1467878398', '2774336')
('1467878398', '2752095')
('1467865531', '1469335633')
('1468198157', '1467865953')
('1467866095', '1467884067')
('1467865936', '1467872252')
('1467865936', '1467900632')
('1467865936', '1467902466')
('1467865936', '1469356027')
('1467871989', '1467868016')
('1467865856', '1467866127')
('1467865623', '1468054135')
('1467865783', '1467879004')
('1467970452', '1468043977')
('1467880967', '5443990')
('1467880967', '2756730')
('1467880967', '1467936701')
('1467880967', '1469334816')
('1467867073', '1467925842')
('1467867043', '1467905457')
('1467865994', '1468260865')
('1467879774', '1467879004')
('1467868895', '1467867385')
('1467873917', '1469356970')
('1467866475', '1467907715')
('1467866715', '1468220201')
('1467870119', '1467975209')
('1467870119', '1467919774')
('1467870119', '1468024592')
('1467870119', '1467975796')
('1467870119', '1467975806')
('1467870119', '305747815')
('1467870119', '95572399')
('1467870119', '1467877895')
('1467870119', '1467976035')
('1467870119', '1467975880')
('1467881276', '1467874982')
('1467881276', '1467898626')
('1467868847', '1467874982')
('1467868847', '1468308490')
('1467868847', '1468134556')
('1467871372', '1468039522')
('1467884933', '1467876325')
('1467884067', '1467994741')
('1467884067', '1467873208')
('1467884067', '2369146')
