Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
150,73.75453329086304,171,44.83429288864136,55,50
1500,1909.0479428768158,1033,290.0032579898834,235,213
6363,3304.708338022232,1946,671.9052140712738,298,257
7650,3845.920663833618,1196,320.7805428504944,205,154
4548,3204.3667867183685,575,148.47567915916443,139,71
2084,2580.2139399051666,213,59.917882680892944,103,29
870,791.6068730354309,103,27.669328212738037,86,12
360,427.8128707408905,29,6.070235729217529,77,3
60,341.827810049057,7,1.6874442100524902,75,0
75,5
