Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
150,45.80358099937439,135,39.10148882865906,67,64
1915,2094.527640104294,803,226.26621389389038,126,107
3197,2764.7819809913635,1490,429.45311164855957,278,235
6985,3610.464015007019,1446,394.16740703582764,222,164
4898,3378.585517168045,699,184.66941690444946,157,94
2750,3235.4448640346527,340,96.8269670009613,125,52
1560,1410.3622109889984,172,35.57442092895508,96,20
595,276.1560728549957,71,14.00845980644226,89,13
390,424.9343481063843,37,7.413381814956665,78,2
30,318.60269498825073,5,1.0142059326171875,77,0
77,4
