Pathways found,Pathway search time,Pairs to annotate,DB annotation time,Boundaries found total,Boundaries found in the graph
150,57.73489832878113,135,38.19119381904602,53,50
1462,2254.793934106827,1045,333.3526871204376,204,182
5434,5286.327543973923,1827,534.0080811977386,292,245
7326,6241.1686470508575,1168,350.7820999622345,220,159
4746,3774.9642820358276,638,182.76798963546753,158,92
2749,3649.4823491573334,303,78.1935350894928,99,28
808,688.094367980957,90,22.543370246887207,83,11
326,405.255539894104,31,6.667140245437622,77,5
150,361.33502197265625,20,4.330199956893921,72,0
72,2
