R_PR_UID	R_PR_STOICH
2594253365	1 1467879801 + 1 1467866715 <=> 1 1467865936 + 1 1467868822
1557818636	1 1467879801 + 1 1467873794 <=> 1 1467865936 + 1 1467868895
1569664328	1 1467879801 + 1 1467873567 <=> 1 1467865936 + 1 1467866763
1569664344	1 1467892879 + 1 1467879801 <=> 1 1467865936 + 1 1467866763
1569818281	1 1467879801 + 1 1467866821 <=> 1 1467865936 + 1 1467865994 + 1 1469442031
1569826875	1 1467890370 + 1 1467879801 <=> 1 1467865936 + 1 1467865967 + 1 1469442031
1569844816	1 1468111245 + 1 1467879801 <=> 1 1467865936 + 1 1467868895
1569863576	1 1468075684 + 1 1467879801 <=> 1 1467865936 + 1 1467868895
1569882741	1 1467884861 + 1 1467879801 <=> 1 1467865936 + 1 1468220201
1569902299	1 1467882016 + 2 1467879801 <=> 2 1467865936 + 1 1467866715
1569907400	1 1467866565 + 1 1467865936 <=> 1 1467879801 + 1 1468586674
1569916317	1 1467879801 + 1 1467868016 + 1 1467865531 <=> 1 1467865623 + 1 1467865936 + 1 1469442031 + 1 1467866763
1737777396	2 1467879801 + 1 1467866821 <=> 1 1467865636 + 1 1467865936 + 2 1469442031 + 1 1467867475
2070045538	1 1467879801 + 1 1467865910 <=> 1 1467865718 + 1 1467865936 + 1 1469442031
2592789975	1 1467879801 + 1 1467866821 <=> 1 1467865936 + 1 1467865994
2592817203	1 1467886210 + 1 1467879801 <=> 1 1467865936 + 1 1467883757
2593028857	1 1468045657 + 1 1467879801 <=> 1 1467865936 + 1 1469442031 + 1 5427330
2774456200	1 1467868016 + 1 1467865936 <=> 1 1467879801 + 1 1468111245
2774519710	1 1468079561 + 1 1467879801 <=> 1 1467865936 + 1 1467870413
2774520324	1 1569586535 + 1 1469442031 + 1 1467865936 <=> 1 1467879801 + 1 2908595
2786263290	1 1467879801 + 1 1467868895 <=> 1 1467865936 + 1 1467881726
2786284634	2 1467879801 + 1 1467866821 <=> 1 1467865636 + 1 1467865936 + 1 1467867475
2786301132	1 1467879801 + 1 1467868016 <=> 1 1467865936 + 1 1467881726
2786302264	1 1467879801 + 1 1467866715 <=> 1 1467865936 + 1 1467880624
2594253274	1 1467884861 + 1 1467879801 <=> 1 1467868822 + 1 1468220201
1569882663	1 1467884861 + 1 1467865936 <=> 1 1467868016 + 1 1468220201
1569900252	1 1468220201 + 1 1467866715 <=> 1 1467868822 + 1 1467884861
1569850518	1 1467868822 + 1 1467865910 <=> 1 1467865718 + 1 1467866715
1569850534	1 1467871604 + 1 1467868822 <=> 1 1467865623 + 1 1467866715
1569893913	1 1467871604 + 1 1467868822 <=> 1 1467865623 + 1 1469442031 + 1 1467866715
1569893947	1 1467868822 + 1 1467865910 <=> 1 1467865718 + 1 1469442031 + 1 1467866715
1570040624	1 1467871642 + 1 1467868822 <=> 1 1467866715 + 1 1467867043
2786323699	1 1467868822 + 1 1467866821 <=> 1 1467865994 + 1 1467866715
1569762054	1 1467866289 + 1 1467865531 <=> 1 1467865667 + 1 1467867300 + 1 1467879801
1569888799	1 1469442031 + 1 1467866289 + 1 1467865531 <=> 1 1467865667 + 1 1467867300 + 1 1467879801
2592796753	1 1467868301 + 1 1467865531 <=> 1 1467865623 + 1 1467867300
1569746813	1 1468043994 + 1 1467879874 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467879801 + 1 1468006422
1569854843	3 1467868175 + 3 1467868061 + 3 1467866026 + 6 1467865531 <=> 6 1467865687 + 6 1467865783 + 3 1469442031 + 3 1467879801 + 1 1467978336
1569933640	1 1467879801 + 1 1467866871 + 1 1467865783 + 1 1467865687 + 1 1467865592 <=> 1 1467865531 + 1 1467865578 + 1 1467865652 + 1 1469442031 + 1 1467876868
1569951953	1 1467867595 + 1 1467867163 + 1 1467865531 <=> 1 1467865623 + 1 1467871113 + 1 1467879801
1570014848	1 1467876868 + 1 1467865652 + 1 1467865578 + 1 1467865531 <=> 1 1467865592 + 1 1467865687 + 1 1467865783 + 1 1467866871 + 1 1467879801
1570015830	1 1468043994 + 1 1467879874 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1469442031 + 1 1467879801 + 1 1468006422
1570016682	1 1467970452 + 1 1467866836 + 1 1467866617 + 1 1467865531 <=> 1 1467865667 + 1 1467865687 + 1 1467865783 + 1 1467866080 + 2 1469442031 + 1 1467879801 + 1 1467902246 + 1 1468019272
1570017859	2 1467975299 + 2 1469442031 + 2 1467865652 + 1 1467865531 <=> 1 1467865687 + 1 1467865783 + 1 1467879801 + 2 1467975355
1570017878	2 1467975299 + 3 1469442031 + 2 1467865652 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467879801 + 2 1467975355
2070038200	2 1467975299 + 2 1467865652 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467879801 + 2 1467975355
2070038218	2 1467975299 + 2 1467865652 + 1 1467865531 <=> 1 1467865687 + 1 1467865783 + 1 1467879801 + 2 1467975355
2786238383	1 1467970452 + 1 1467866836 + 1 1467866617 + 1 1467865531 <=> 1 1467865667 + 1 1467865687 + 1 1467865783 + 1 1467866080 + 1 1467879801 + 1 1467902246 + 1 1468019272
2786290706	3 1467868175 + 3 1467868061 + 3 1467866026 + 6 1467865531 <=> 6 1467865687 + 6 1467865783 + 3 1467879801 + 1 1467978336
1569762037	1 1467866289 + 1 1467866127 <=> 1 1467865667 + 1 1467869250 + 1 1467879801
1569888844	1 1469442031 + 1 1467866289 + 1 1467866127 <=> 1 1467865667 + 1 1467869250 + 1 1467879801
1569762088	1 1467866360 + 1 1467866289 <=> 1 1467865667 + 1 1467871133 + 1 1467879801
1569888828	1 1469442031 + 1 1467866360 + 1 1467866289 <=> 1 1467865667 + 1 1467871133 + 1 1467879801
1569910574	1 1467866360 <=> 1 1467871133 + 1 1467879801
1569944514	1 1467879801 + 1 1467873917 + 1 1467871133 <=> 1 1467866360 + 1 1467886607
1570000488	1 1467879801 + 1 1467866522 + 1 1467866374 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467865856 + 1 1467866360 + 2 1469442031
2592792085	1 1467879801 + 1 1467866522 + 1 1467866374 + 1 1467865531 <=> 1 1467865623 + 1 1467865636 + 1 1467865856 + 1 1467866360
1569876307	1 1467879801 + 1 1467873724 <=> 1 1467867043
1569923349	1 1467879801 + 1 1467866360 <=> 1 1467865636 + 1 1469442031 + 1 1467867043
2774401602	1 1467867043 + 2 1469442031 <=> 1 1467873724 + 1 1467879801
2808991395	1 1468014334 + 1 1467867043 <=> 1 1467865610 + 2 1469442031 + 1 1467873724
2594273759	1 1467868045 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467983806
2594274002	1 1467868045 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468002135
2594277868	1 3485 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467945387
1556117166	1 1467872180 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467865812 + 1 1467879801
1556141167	1 1467879801 + 1 1467872558 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1467884051
1556244252	1 1467935311 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469414610
1556304104	1 1468050016 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467975242
1556527048	1 1467880463 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1467868585
1556539544	1 1467893267 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467871215
1557106717	1 1467894952 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868629
1557838265	1 1467868585 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1468012885
1557839580	1 1467879801 + 1 1467868585 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1468012885
1557840616	1 1467868585 + 1 1469442031 + 1 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467866289 + 1 1467879801 + 1 1467891611
1558369715	1 1467975365 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467919694
1558491880	1 1467979305 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467980592
1559140817	1 1467918943 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1467918955
1559509860	1 1467868585 + 1 1469442031 + 1 1467865610 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469253737
1559527671	1 1469442031 + 1 1467866080 + 1 1467865578 <=> 1 1467865592 + 1 1467879801 + 1 1469396599
1559557362	1 219247 + 1 1469442031 + 1 1467865578 <=> 1 1467865592 + 1 1467876458
1560274315	1 1467879801 + 1 1467866414 + 1 1467865592 <=> 1 1467865578 + 1 1467866289 + 1 1469442031
1560284220	1 1468091814 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467891784
1560716656	1 1928145 + 1 1469442031 + 1 1467865610 + 2 1467865578 <=> 2 1467865592 + 1 1467865812 + 1 1467879801 + 1 1467879874
1561125279	1 1468231761 + 1 1467879801 + 1 1467865592 <=> 1 1467865578 + 1 1467865610 + 1 1469442031 + 1 1467870840
1569658549	1 1467865936 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467877115
1569671407	1 1467872290 + 1 1467865592 <=> 1 1467865578 + 1 1469442031 + 1 1467868131
1569671439	1 1467868131 + 1 1467865783 + 1 1467865687 + 1 1467865592 <=> 1 1467865531 + 1 1467865578 + 1 1469442031 + 1 1467867945
